original_age_range,age_min,age_max
5.0-5.3,60,63
5.4-5.7,64,67
5.8-5.11,68,71
6.0-6.5,72,77
6.6-6.11,78,83
7.0-7.5,84,89
7.6-7.11,90,95
8.0-8.5,96,101
8.6-9.3,102,117
