test,agemon_min,agemon_max,raw,ss,CI90,CI95,percentile,age_equiv,desc_range
SPWE,,,,,,,,,
RHYE,,,,,,,,,
ERNLE,,,,,,,,,
LWSE,,,,,,,,,
ESEGE,,,,,,,,,
LSKE,,,,,,,,,
