test,grade,raw,ss,CI90,CI95,percentile,grade_equiv,desc_range
SPWE,,,,,,,,
RHYE,,,,,,,,
ERNLE,,,,,,,,
LWSE,,,,,,,,
ESEGE,,,,,,,,
LSKE,,,,,,,,
