raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,54,55,56,57,58,62
1,56,56,57,58,60,64
2,58,58,59,60,62,65
3,59,60,60,62,63,67
4,61,61,62,63,65,69
5,62,63,64,65,66,72
6,64,64,65,66,68,73
7,65,66,67,68,69,74
8,67,67,68,69,71,77
9,68,69,70,71,72,79
10,70,70,71,72,74,81
11,72,72,73,74,75,83
12,73,73,74,75,77,86
13,75,75,76,77,80,88
14,76,76,77,78,83,91
15,78,78,79,80,86,93
16,79,80,80,82,88,96
17,81,81,82,83,91,98
18,82,83,84,85,93,100
19,84,84,85,88,95,102
20,86,86,87,90,97,104
21,87,87,88,93,100,105
22,89,89,90,95,102,106
23,90,91,92,96,103,108
24,92,92,93,97,105,109
25,94,94,95,99,107,111
26,96,96,98,100,108,113
27,97,98,100,101,110,114
28,99,100,101,102,112,115
29,101,101,103,104,114,116
30,103,103,105,106,115,117
31,105,105,107,108,116,118
32,107,108,109,110,117,119
33,109,110,111,113,119,122
34,111,112,113,115,120,126
35,114,114,116,118,121,130
36,117,117,119,121,125,130
37,119,120,122,125,129,130
38,123,123,126,129,130,130
39,127,128,130,130,130,130
40,130,130,130,130,130,130
