raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,40,40,40,40,40,40
1,40,40,40,40,40,40
2,40,40,40,40,40,40
3,40,40,40,40,40,40
4,40,40,40,40,40,45
5,40,40,40,40,42,50
6,41,41,42,43,47,55
7,46,46,47,48,52,60
8,51,51,52,53,56,64
9,55,56,56,58,61,68
10,60,60,61,62,64,71
11,63,64,64,66,68,75
12,67,67,68,69,71,78
13,71,71,71,72,75,81
14,74,74,75,76,78,83
15,77,77,78,79,81,86
16,80,80,81,82,84,89
17,83,83,84,85,87,94
18,86,86,87,88,90,99
19,89,89,89,90,94,101
20,92,92,92,93,100,104
21,95,95,95,99,102,106
22,98,98,98,101,104,108
23,101,101,101,103,106,109
24,104,104,104,105,108,111
25,108,107,107,108,111,114
26,111,111,110,111,114,117
27,115,114,114,115,118,120
28,119,118,117,118,121,124
29,124,123,122,122,124,127
