perc,ss,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
98,130,25--38,29--38,32--38,37--38,-,-,-,-,-
97,129,24,28,-,36,-,-,-,-,-
97,128,-,27,31,-,-,-,-,-,-
96,127,23,-,-,35,-,-,-,-,-
96,126,-,26,30,34,-,-,-,-,-
95,125,22,-,29,-,38,-,-,-,-
95,124,-,25,-,33,-,-,-,-,-
94,123,21,-,28,32,37,-,-,-,-
93,122,-,24,-,-,36,-,-,-,-
92,121,20,-,27,31,-,-,-,-,-
91,120,-,23,26,-,35,-,-,-,-
90,119,19,-,-,30,-,38,-,-,-
88,118,-,22,25,-,34,-,-,-,-
87,117,-,-,-,29,-,37,-,-,-
86,116,18,21,24,28,33,-,38,-,-
84,115,-,-,-,-,-,36,-,-,-
82,114,17,20,23,27,32,-,-,-,-
81,113,-,-,-,-,-,-,-,-,-
79,112,16,19,22,26,31,35,-,-,-
77,111,-,-,-,-,30,-,37,-,-
75,110,-,18,21,25,-,34,-,38,-
73,109,15,-,-,-,29,-,-,-,-
70,108,-,17,20,24,-,33,-,-,-
68,107,14,-,-,-,28,-,36,37,-
66,106,-,16,19,23,-,32,-,-,-
63,105,-,-,-,-,27,-,35,-,-
61,104,13,-,18,22,-,31,-,-,38
58,103,-,15,-,21,26,-,34,36,-
55,102,-,-,17,-,-,-,-,-,37
53,101,12,14,-,20,25,30,33,-,-
50,100,-,-,16,-,-,-,-,35,36
47,99,11,13,-,19,24,29,32,-,-
45,98,-,-,-,-,-,-,-,34,-
42,97,-,-,15,-,23,28,-,-,35
39,96,10,12,-,18,-,-,31,33,-
37,95,-,-,14,-,22,27,-,-,-
34,94,-,-,-,17,-,26,30,32,34
32,93,9,11,13,-,21,-,-,-,-
30,92,-,-,-,16,-,25,29,31,-
27,91,-,10,12,-,20,-,-,-,33
25,90,8,-,-,15,19,24,-,-,-
23,89,-,-,-,-,-,-,-,30,-
21,88,-,9,11,14,18,23,28,-,32
19,87,7,-,-,-,-,-,-,-,-
18,86,-,-,10,13,17,22,27,29,-
16,85,-,8,-,-,-,-,-,-,31
14,84,-,-,-,12,16,21,26,-,-
13,83,6,-,9,-,-,20,-,28,-
12,82,-,7,-,11,15,-,25,-,30
10,81,-,-,8,-,-,19,24,-,-
9,80,5,6,-,10,14,-,-,27,-
8,79,-,-,-,-,-,18,23,-,-
7,78,-,-,7,9,13,17,22,-,29
6,77,-,5,-,-,12,-,-,26,-
5,76,4,-,6,-,-,16,21,-,28
5,75,-,-,-,8,11,-,20,-,-
4,74,-,4,-,-,-,15,-,25,27
4,73,3,-,5,7,10,14,19,24,-
3,72,-,-,-,-,-,-,18,-,26
3,71,-,3,4,6,9,13,-,23,-
2,70,-,-,-,-,-,12,17,22,25
2,69,2,-,-,5,8,-,16,21,-
2,68,-,-,3,-,-,11,15,-,24
1,67,-,2,-,4,7,10,-,20,-
1,66,-,-,-,-,6,-,14,19,23
1,65,1,-,2,-,-,9,13,18,-
1,64,-,1,-,3,5,8,12,17,22
1,63,-,-,1,-,-,-,-,16,-
1,62,-,-,-,2,4,7,11,-,-
0.5,61,0,0,-,-,-,-,10,15,-
0.4,60,-,-,0,1,3,6,9,14,21
0.3,59,-,-,-,-,-,5,-,13,20
0.3,58,-,-,-,0,2,-,8,12,19
0.2,57,-,-,-,-,-,4,7,11,18
0.2,56,-,-,-,-,1,3,6,10,17
0.1,55,-,-,-,-,0,-,5,9,16
0.1,54,-,-,-,-,-,2,-,8,15
0.1,53,-,-,-,-,-,1,4,7,13--14
0.1,52,-,-,-,-,-,-,3,6,12
0.1,51,-,-,-,-,-,0,2,-,11
0.1,50,-,-,-,-,-,-,-,5,10
<.1,49,-,-,-,-,-,-,1,4,9
<.1,48,-,-,-,-,-,-,0,3,8
<.1,47,-,-,-,-,-,-,-,2,7
<.1,46,-,-,-,-,-,-,-,1,5--6
<.1,45,-,-,-,-,-,-,-,0,4
<.1,44,-,-,-,-,-,-,-,-,3
<.1,43,-,-,-,-,-,-,-,-,2
<.1,42,-,-,-,-,-,-,-,-,1
<.1,41,-,-,-,-,-,-,-,-,0
<.1,40,-,-,-,-,-,-,-,-,-
