raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,51,51,52,54,57,62
1,52,53,54,55,58,63
2,54,54,55,56,59,64
3,55,55,56,58,60,65
4,56,56,57,59,61,67
5,58,58,59,60,63,68
6,59,59,60,62,64,69
7,60,61,62,63,65,70
8,62,62,63,65,67,72
9,64,64,65,66,68,73
10,65,66,66,68,70,75
11,67,67,68,70,72,76
12,69,69,70,72,74,78
13,71,71,72,74,76,80
14,74,74,75,76,78,82
15,76,76,77,78,80,84
16,79,79,80,81,83,87
17,83,83,84,85,87,90
18,88,88,89,90,91,94
19,96,96,96,97,98,100
20,111,111,111,111,111,112
