raw,agestrat
1,50.0-59.11
1,60.0-69.11
1,70.0-89.11
2,40.0-49.11
2,50.0-59.11
2,60.0-69.11
2,70.0-89.11
3,40.0-49.11
3,50.0-59.11
3,60.0-69.11
3,70.0-89.11
4,40.0-49.11
4,50.0-59.11
4,60.0-69.11
4,70.0-89.11
5,40.0-49.11
5,50.0-59.11
5,60.0-69.11
5,70.0-89.11
6,40.0-49.11
6,50.0-59.11
6,60.0-69.11
6,70.0-89.11
7,40.0-49.11
7,50.0-59.11
7,60.0-69.11
7,70.0-89.11
8,40.0-49.11
8,50.0-59.11
8,60.0-69.11
8,70.0-89.11
9,50.0-59.11
9,60.0-69.11
9,70.0-89.11
10,40.0-49.11
10,50.0-59.11
10,60.0-69.11
10,70.0-89.11
11,40.0-49.11
11,50.0-59.11
11,60.0-69.11
11,70.0-89.11
12,40.0-49.11
12,50.0-59.11
12,60.0-69.11
12,70.0-89.11
13,40.0-49.11
13,50.0-59.11
13,60.0-69.11
14,40.0-49.11
