raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
1,55,48,40,40,40,47
2,57,50,42,40,40,47
3,59,52,45,40,40,51
4,60,54,48,43,40,58
5,62,56,50,47,46,63
6,63,57,52,50,51,66
7,65,59,54,53,55,69
8,66,61,57,56,58,72
9,68,62,59,58,61,75
10,69,64,61,60,64,77
11,71,66,63,63,66,79
12,72,67,65,65,69,81
13,74,69,67,67,71,84
14,75,71,68,69,73,86
15,77,73,70,71,76,88
16,79,74,72,74,78,90
17,80,76,74,76,80,92
18,82,78,76,78,82,94
19,83,79,78,80,84,95
20,85,81,80,82,86,97
21,87,83,82,84,88,99
22,88,85,84,86,90,101
23,90,87,86,88,92,103
24,92,88,88,90,95,105
25,94,90,90,92,97,107
26,96,92,92,94,99,108
27,98,94,94,97,101,110
28,100,97,97,99,103,112
29,102,99,99,101,106,114
30,105,101,101,104,108,116
31,108,104,104,107,111,118
32,111,107,107,110,113,120
33,114,110,110,113,116,122
34,119,114,114,116,119,124
35,127,119,119,121,123,127
36,127,127,128,128,127,129
37,127,127,128,130,130,130
38,127,127,128,130,130,130
39,127,127,128,130,130,130
40,127,127,128,130,130,130
