raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,63,63,63,63,63,61
1,63,63,63,63,63,61
2,63,63,63,63,63,61
3,63,63,63,63,63,61
4,63,63,63,63,63,61
5,63,63,63,63,63,61
6,63,63,63,63,63,61
7,63,63,63,63,63,64
8,63,63,63,63,63,65
9,63,63,63,63,63,67
10,63,63,63,63,63,68
11,63,63,63,63,63,69
12,66,63,63,63,63,70
13,68,63,63,63,63,70
14,69,63,63,63,63,71
15,70,63,63,63,63,72
16,71,64,63,63,63,73
17,72,67,63,63,63,73
18,73,68,63,63,66,74
19,74,70,63,63,68,75
20,74,71,63,63,69,75
21,75,72,68,68,70,76
22,76,73,69,69,71,77
23,77,73,70,70,72,77
24,78,74,72,71,73,78
25,78,75,73,72,74,79
26,79,76,74,73,75,80
27,80,77,74,74,75,80
28,81,78,75,75,76,81
29,81,79,76,76,77,82
30,82,79,77,77,78,82
31,83,80,78,78,79,83
32,84,81,79,78,80,84
33,85,82,80,79,80,85
34,86,83,81,80,81,85
35,86,84,81,81,82,86
36,87,85,82,82,117,87
37,88,86,117,118,117,88
38,89,87,117,118,117,89
39,91,88,117,118,117,90
40,92,89,117,118,117,91
41,93,90,117,118,117,92
42,95,91,117,118,117,94
43,97,93,117,118,117,95
44,99,95,117,121,121,97
45,104,110,117,121,121,110
46,117,110,117,121,121,110
47,119,110,117,121,121,110
