raw,agestrat
115,50.0-59.11
115,60.0-69.11
115,70.0-89.11
116,50.0-59.11
116,60.0-69.11
116,70.0-89.11
117,50.0-59.11
117,60.0-69.11
117,70.0-89.11
118,50.0-59.11
118,60.0-69.11
118,70.0-89.11
119,50.0-59.11
119,60.0-69.11
119,70.0-89.11
120,50.0-59.11
120,60.0-69.11
120,70.0-89.11
121,50.0-59.11
121,60.0-69.11
121,70.0-89.11
122,50.0-59.11
122,60.0-69.11
122,70.0-89.11
123,50.0-59.11
123,60.0-69.11
123,70.0-89.11
124,50.0-59.11
124,60.0-69.11
124,70.0-89.11
125,50.0-59.11
125,60.0-69.11
125,70.0-89.11
126,50.0-59.11
126,60.0-69.11
126,70.0-89.11
127,50.0-59.11
127,60.0-69.11
127,70.0-89.11
128,50.0-59.11
128,60.0-69.11
128,70.0-89.11
129,50.0-59.11
129,60.0-69.11
129,70.0-89.11
130,50.0-59.11
130,60.0-69.11
130,70.0-89.11
131,50.0-59.11
131,60.0-69.11
131,70.0-89.11
132,50.0-59.11
132,60.0-69.11
132,70.0-89.11
133,50.0-59.11
133,60.0-69.11
133,70.0-89.11
134,50.0-59.11
134,60.0-69.11
134,70.0-89.11
135,50.0-59.11
135,60.0-69.11
135,70.0-89.11
136,50.0-59.11
136,60.0-69.11
136,70.0-89.11
137,50.0-59.11
137,60.0-69.11
137,70.0-89.11
138,50.0-59.11
138,60.0-69.11
138,70.0-89.11
139,50.0-59.11
139,60.0-69.11
139,70.0-89.11
140,50.0-59.11
140,60.0-69.11
140,70.0-89.11
141,50.0-59.11
141,60.0-69.11
141,70.0-89.11
142,50.0-59.11
142,60.0-69.11
142,70.0-89.11
143,50.0-59.11
143,60.0-69.11
143,70.0-89.11
144,50.0-59.11
144,60.0-69.11
144,70.0-89.11
145,50.0-59.11
145,60.0-69.11
145,70.0-89.11
146,50.0-59.11
146,60.0-69.11
146,70.0-89.11
147,50.0-59.11
147,60.0-69.11
147,70.0-89.11
148,50.0-59.11
148,60.0-69.11
148,70.0-89.11
149,50.0-59.11
149,60.0-69.11
149,70.0-89.11
150,50.0-59.11
150,60.0-69.11
150,70.0-89.11
151,50.0-59.11
151,60.0-69.11
151,70.0-89.11
152,50.0-59.11
152,60.0-69.11
152,70.0-89.11
153,50.0-59.11
153,60.0-69.11
153,70.0-89.11
154,50.0-59.11
154,60.0-69.11
154,70.0-89.11
155,50.0-59.11
155,60.0-69.11
155,70.0-89.11
156,50.0-59.11
156,60.0-69.11
156,70.0-89.11
157,50.0-59.11
157,60.0-69.11
157,70.0-89.11
158,50.0-59.11
158,60.0-69.11
158,70.0-89.11
159,50.0-59.11
159,60.0-69.11
159,70.0-89.11
160,50.0-59.11
160,60.0-69.11
160,70.0-89.11
161,50.0-59.11
161,60.0-69.11
162,50.0-59.11
162,60.0-69.11
163,50.0-59.11
163,60.0-69.11
164,50.0-59.11
164,60.0-69.11
165,50.0-59.11
165,60.0-69.11
166,50.0-59.11
166,60.0-69.11
167,50.0-59.11
167,60.0-69.11
168,50.0-59.11
168,60.0-69.11
169,50.0-59.11
170,50.0-59.11
171,50.0-59.11
172,50.0-59.11
