raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,50,50,52,53,55,59
1,51,51,52,54,56,60
2,52,52,53,55,57,61
3,53,53,55,56,58,62
4,54,55,56,57,59,63
5,55,56,57,58,60,64
6,56,57,58,59,61,66
7,57,58,59,60,63,67
8,59,59,60,62,64,68
9,60,60,62,63,65,69
10,61,62,63,64,66,71
11,62,63,64,66,68,72
12,64,64,66,67,69,74
13,65,66,67,69,71,75
14,67,68,69,70,73,77
15,69,69,71,72,74,79
16,70,71,72,74,76,80
17,72,73,74,76,78,82
18,75,75,76,78,80,84
19,77,77,79,80,83,87
20,79,80,81,83,85,89
21,82,83,84,86,88,92
22,86,86,88,89,91,95
23,90,91,92,94,95,98
24,96,97,98,99,101,103
25,111,111,111,112,112,113
