IDnum,ageyear,gender,PEL,ethnic,region
1,8,male,BA_plus,White,West
2,38,female,HS_grad,White,West
3,14,female,Some_college,Black,South
4,22,male,Some_college,Asian,Northeast
5,7,male,Some_college,Hispanic,Midwest
6,7,male,BA_plus,Black,Midwest
7,7,female,No_HS_deg,Black,Midwest
8,9,female,No_HS_deg,White,South
9,12,male,BA_plus,White,West
10,11,female,BA_plus,White,South
11,11,female,HS_grad,Asian,Northeast
12,7,male,HS_grad,Hispanic,Northeast
13,47,female,Some_college,Hispanic,West
14,59,female,BA_plus,Hispanic,South
15,6,male,BA_plus,Other,South
16,6,male,No_HS_deg,White,Midwest
17,24,female,HS_grad,Black,South
18,17,male,BA_plus,Black,West
19,18,male,Some_college,White,West
20,18,female,HS_grad,Hispanic,Northeast
