IDnum,ageyear,gender,PEL,ethnic,region
1,8,male,BA_plus,White,West
2,38,female,HS_grad,White,West
3,14,female,Some_college,Black,South
4,22,male,Some_college,Asian,Northeast
5,7,male,Some_college,Hispanic,Midwest
6,7,male,BA_plus,Black,Midwest
7,7,female,No_HS_deg,Black,Midwest
8,9,female,No_HS_deg,White,South
9,12,male,BA_plus,White,West
10,11,female,BA_plus,White,South
11,11,female,HS_grad,Asian,Northeast
12,7,male,HS_grad,Hispanic,Northeast
13,47,female,Some_college,Hispanic,West
14,59,female,BA_plus,Hispanic,South
15,6,male,BA_plus,Other,South
16,6,male,No_HS_deg,White,Midwest
17,24,female,HS_grad,Black,South
18,17,male,BA_plus,Black,West
19,18,male,Some_college,White,West
20,18,female,HS_grad,Hispanic,Northeast
21,18,female,HS_grad,Hispanic,Northeast
22,18,female,HS_grad,Hispanic,Northeast
23,18,female,HS_grad,Hispanic,Northeast
24,18,female,HS_grad,Hispanic,Northeast
25,18,female,HS_grad,Hispanic,Northeast
26,18,female,HS_grad,Hispanic,Northeast
27,18,female,HS_grad,Hispanic,Northeast
28,18,female,HS_grad,Hispanic,Northeast
29,18,female,HS_grad,Hispanic,Northeast
30,18,female,HS_grad,Hispanic,Northeast
31,18,female,HS_grad,Hispanic,Northeast
32,18,female,HS_grad,Hispanic,Northeast
33,18,female,HS_grad,Hispanic,Northeast
34,18,female,HS_grad,Hispanic,Northeast
35,18,female,HS_grad,Hispanic,Northeast
36,18,female,HS_grad,Hispanic,Northeast
37,18,female,HS_grad,Hispanic,Northeast
38,18,female,HS_grad,Hispanic,Northeast
39,18,female,HS_grad,Hispanic,Northeast
40,18,female,HS_grad,Hispanic,Northeast
41,18,female,HS_grad,Hispanic,Northeast
42,18,female,HS_grad,Hispanic,Northeast
43,18,female,HS_grad,Hispanic,Northeast
44,18,female,HS_grad,Hispanic,Northeast
45,18,female,HS_grad,Hispanic,Northeast
46,18,female,HS_grad,Hispanic,Northeast
47,18,female,HS_grad,Hispanic,Northeast
48,18,female,HS_grad,Hispanic,Northeast
49,18,female,HS_grad,Hispanic,Northeast
50,18,female,HS_grad,Hispanic,Northeast
51,18,female,HS_grad,Hispanic,Northeast
52,18,female,HS_grad,Hispanic,Northeast
53,18,female,HS_grad,Hispanic,Northeast
54,18,female,HS_grad,Hispanic,Northeast
55,18,female,HS_grad,Hispanic,Northeast
56,18,female,HS_grad,Hispanic,Northeast
57,18,female,HS_grad,Hispanic,Northeast
58,18,female,HS_grad,Hispanic,Northeast
59,18,female,HS_grad,Hispanic,Northeast
60,18,female,HS_grad,Hispanic,Northeast
61,18,female,HS_grad,Hispanic,Northeast
62,18,female,HS_grad,Hispanic,Northeast
63,18,female,HS_grad,Hispanic,Northeast
64,18,female,HS_grad,Hispanic,Northeast
65,18,female,HS_grad,Hispanic,Northeast
66,18,female,HS_grad,Hispanic,Northeast
67,18,female,HS_grad,Hispanic,Northeast
68,18,female,HS_grad,Hispanic,Northeast
69,18,female,HS_grad,Hispanic,Northeast
70,18,female,HS_grad,Hispanic,Northeast
71,18,female,HS_grad,Hispanic,Northeast
72,18,female,HS_grad,Hispanic,Northeast
73,18,female,HS_grad,Hispanic,Northeast
74,18,female,HS_grad,Hispanic,Northeast
