IDnum,zip,ageyear,gender,PEL,hispanic,ethnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223003,78538,8,Female,High School,Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201011,27021,6,Male,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225004,90249,5,Female,Bachelors Degree (or higher),Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225003,90249,5,Female,Bachelors Degree (or higher),Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215002,8822,5,Female,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225002,90249,5,Male,Bachelors Degree (or higher),Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225001,90249,5,Female,Bachelors Degree (or higher),Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201006,27021,6,Female,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201005,27021,6,Male,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201013,27021,6,Male,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201009,27021,6,Female,Some College (including Associate's Degree),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218002,80550,7,Female,Bachelors Degree (or higher),No,Asian or Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223001,78538,6,Female,High School,Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218001,80549,6,Female,Some College (including Associate's Degree),Yes,Other / Multiracial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222002,37909,6,Male,Bachelors Degree (or higher),No,Other / Multiracial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222001,37909,7,Male,Bachelors Degree (or higher),No,Other / Multiracial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201015,27042,8,Female,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201007,27042,5,Male,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223003,78538,8,Female,High School,Yes,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215001,8822,7,Female,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201001,27040,5,Male,High School,No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201008,27040,7,Male,High School,No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201004,27021,6,Male,Bachelors Degree (or higher),No,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
