raw,self_t
25,40
26,40
27,40
28,40
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,40
37,40
38,40
39,40
40,40
41,40
42,40
43,40
44,40
45,40
46,40
47,40
48,40
49,40
50,40
51,40
52,40
53,41
54,41
55,42
56,43
57,43
58,44
59,45
60,45
61,46
62,47
63,47
64,48
65,48
66,49
67,50
68,50
69,51
70,51
71,52
72,52
73,53
74,54
75,54
76,55
77,55
78,56
79,56
80,57
81,57
82,58
83,59
84,59
85,60
86,60
87,61
88,61
89,62
90,62
91,63
92,63
93,64
94,64
95,65
96,65
97,65
98,66
99,66
100,67
101,67
102,67
103,69
104,69
105,69
106,69
107,69
108,71
109,71
110,71
111,72
112,72
113,72
114,74
115,74
116,74
117,74
118,74
119,76
120,76
121,76
122,76
123,76
124,76
125,76
126,76
127,76
128,76
129,76
130,76
131,76
132,76
133,76
134,76
135,76
136,76
137,76
138,76
139,76
140,76
