T_score,self_raw
80,-
79,-
78,-
77,-
76,119--140
75,-
74,114--118
73,-
72,111--113
71,108--110
70,-
69,103--107
68,-
67,100--102
66,98--99
65,95--97
64,93--94
63,91--92
62,89--90
61,87--88
60,85--86
59,83--84
58,82
57,80--81
56,78--79
55,76--77
54,74--75
53,73
52,71--72
51,69--70
50,67--68
49,66
48,64--65
47,62--63
46,61
45,59--60
44,58
43,56--57
42,55
41,53--54
40,25--52
