raw,EDDIW_grd_ss,EDDIQ_grd_ss,ELP_grd_ss,ERSW_grd_ss,ERSQ_grd_ss,ESWA_grd_ss,EPHK_grd_ss,EBRS_grd_ss,EPHA_grd_ss
80,,,,,,55,59,61,58
81,,,,,,55,59,61,58
82,,,,,,55,59,61,58
83,,,,,,55,59,61,58
84,,,,,,55,59,61,58
85,,,,,,55,59,61,58
86,,,,,,55,59,61,58
87,,,,,,55,59,61,58
88,,,,,,55,59,61,58
89,,,,,,55,59,61,58
90,,,,,,55,59,61,58
91,,,,,,55,59,61,58
92,,,,,,55,59,61,58
93,,,,,,55,59,61,58
94,,,,,,55,59,61,58
95,,,,,,55,59,61,58
96,,,,,,55,59,61,58
97,,,,,,55,59,61,58
98,,,,,,55,59,61,58
99,,,,,,55,59,61,58
100,,,,,,55,59,61,58
101,,,,,,55,59,61,58
102,,,,,,55,59,61,58
103,,,,,,55,59,61,58
104,,,,,,55,59,61,58
105,,,,,,55,59,61,58
106,,,,,,55,59,61,58
107,,,,,,55,59,61,58
108,,,,,,55,59,61,58
109,,,,,,55,59,61,58
110,,,,,,55,59,61,58
111,,,,,,55,59,61,58
112,,,,,,55,59,61,58
113,,,,,,55,59,61,58
114,,,,,,55,59,61,58
115,,,,,,55,59,61,58
116,,,,,,55,59,61,58
117,,,,,,55,59,61,58
118,,,,,,55,59,61,58
119,,,,,,55,59,61,58
120,,,60,,,55,59,61,58
121,,,60,,,55,59,61,58
122,,,60,,,55,59,61,58
123,,,60,,,55,59,61,58
124,,,60,,,55,59,61,58
125,,,60,,,55,59,61,58
126,,,60,,,55,59,61,58
127,,,60,,,55,59,61,58
128,,,60,,,55,59,61,58
129,,,60,,,55,64,61,58
130,,,60,,,55,64,64,58
131,,,60,,,55,64,64,58
132,,,60,,,55,64,64,58
133,,,60,,,55,64,64,58
134,,,60,,,56,66,65,58
135,,,60,,,56,66,65,58
136,,,60,,,56,66,65,58
137,,,60,,,56,66,65,58
138,,,60,,,56,66,65,58
139,,,60,,,60,66,65,58
140,,,60,,,60,66,68,58
141,,,60,,,60,66,68,58
142,,,60,,,62,69,68,58
143,,,60,,,62,70,69,58
144,,,60,,,62,70,70,58
145,,,60,,,62,70,70,58
146,,,60,,,65,71,70,58
147,,,60,,,65,72,71,58
148,,,60,,,65,72,72,58
149,,,60,,,65,72,72,67
150,,,60,,,67,73,72,67
151,,,60,,,67,73,72,67
152,,,60,,,69,74,72,69
153,,,60,,,69,74,74,69
154,,,60,,,70,75,74,69
155,,,60,,,70,75,75,71
156,,,60,,,72,76,75,71
157,,,60,,,72,76,75,71
158,,,60,,,73,76,76,71
159,,,60,,,73,77,77,71
160,,,60,,,74,78,77,74
161,,,60,,,75,78,77,74
162,,,60,,,75,79,78,75
163,,,60,,,76,79,79,76
164,,,60,,,76,79,79,76
165,,,60,,,76,80,80,77
166,,,60,,,78,81,80,78
167,,,60,,,79,81,81,78
168,,,60,,,80,82,81,79
169,,,60,,,80,82,82,80
170,,,60,,,81,83,82,80
171,,,60,,,81,83,83,81
172,,,60,,,82,84,83,81
173,,,60,,,83,85,84,82
174,,,60,,,83,85,84,83
175,,,60,,,84,86,85,84
176,,,60,,,85,86,86,84
177,,,60,,,85,87,86,85
178,,,60,,,86,87,87,86
179,,,60,,,87,88,87,86
180,,,60,,,87,88,88,87
181,,,60,,,88,89,88,88
182,,,60,,,89,89,89,88
183,,,60,,,89,89,89,89
184,,,60,,,90,91,90,89
185,,,60,,,90,91,91,90
186,,,60,,,91,92,91,91
187,,,60,,,92,92,92,91
188,,,60,,,92,93,92,92
189,,,60,,,93,93,93,93
190,,,60,,,94,94,93,93
191,,,60,,,94,95,94,94
192,,,60,,,95,95,95,95
193,,,60,,,95,96,95,95
194,,,60,,,96,96,96,96
195,,,60,,,97,97,96,97
196,,,60,,,97,97,97,97
197,,,60,,,98,98,98,98
198,,,60,,,98,99,98,99
199,,,60,,,99,99,99,99
200,,,60,47,61,100,100,99,100
201,,,60,47,61,100,100,100,101
202,,,60,47,61,101,101,101,101
203,,,60,47,61,101,102,101,102
204,,,60,47,61,102,102,102,103
205,,,60,47,61,103,103,103,103
206,,,60,47,61,103,104,103,104
207,,,60,47,61,104,104,104,104
208,,,60,47,61,104,105,104,105
209,,,60,47,61,105,105,105,106
210,,,60,47,61,106,106,106,106
211,,,60,47,61,106,107,106,107
212,,,60,47,61,107,107,107,108
213,,,60,47,61,107,108,108,108
214,,,60,47,61,108,109,108,109
215,,,60,47,61,108,109,109,110
216,,,65,47,61,109,110,110,110
217,,,65,47,61,110,110,110,111
218,,,65,47,61,110,111,111,112
219,,,66,47,61,111,112,112,112
220,,,66,47,61,111,112,112,113
221,,,67,47,61,112,113,113,114
222,,,67,47,61,112,114,114,114
223,,,67,47,61,113,114,114,115
224,,,67,47,61,114,115,115,116
225,,,67,47,61,114,116,116,116
226,,,67,47,61,115,116,116,117
