ss,EBRS_age_raw,EDDIQ_age_raw,EDDIW_age_raw,ELP_age_raw,EPHA_age_raw,EPHK_age_raw,ERSQ_age_raw,ERSW_age_raw,ESWA_age_raw
130,245--260,947--1040,985--1040,364--390,245--260,251--260,-,614--650,247--260
129,244,-,-,362--363,244,-,-,610--613,246
128,242--243,-,962--984,360--361,243,247--250,-,605--609,244--245
127,-,929--946,-,357--359,-,245--246,-,601--604,243
126,239--241,-,950--961,355--356,239--242,243--244,590--650,597--600,241--242
125,-,921--928,945--949,353--354,237--238,242,587--589,595--596,239--240
124,237--238,-,937--944,351--352,236,240--241,585--586,-,237--238
123,235--236,-,931--936,349--350,234--235,238--239,581--584,588--594,236
122,234,-,926--930,347--348,233,237,578--580,583--587,234--235
121,232--233,906--920,919--925,345--346,231--232,235--236,574--577,579--582,233
120,-,-,912--918,343--344,230,233--234,571--573,575--578,231--232
119,229--231,896--905,911,341--342,228--229,231--232,570,572--574,229--230
118,228,893--895,901--910,338--340,227,230,567--569,-,-
117,226--227,886--892,894--900,336--337,225--226,228--229,-,562--571,226--228
116,225,883--885,887--893,334--335,223--224,226--227,558--566,558--561,224--225
115,223--224,877--882,881--886,332--333,222,225,555--557,556--557,223
114,222,872--876,874--880,330--331,220--221,223--224,551--554,551--555,221--222
113,220--221,867--871,869--873,329,219,221--222,549--550,547--550,219--220
112,219,865--866,862--868,325--328,217--218,219--220,546--548,542--546,218
111,217--218,858--864,856--861,323--324,216,218,542--545,538--541,216--217
110,216,855--857,850--855,321--322,214--215,216--217,-,534--537,214--215
109,214--215,848--854,844--849,319--320,213,214--215,534--541,531--533,213
108,213,844--847,838--843,318,211--212,213,531--533,527--530,211--212
107,211--212,839--843,832--837,315--317,210,211--212,528--530,522--526,210
106,210,834--838,827--831,312--314,208--209,209--210,525--527,520--521,208--209
105,208--209,830--833,820--826,310--311,206--207,207--208,521--524,514--519,206--207
104,206--207,827--829,819,308--309,205,206,516--520,510--513,205
103,205,823--826,809--818,306--307,203--204,204--205,513--515,506--509,203--204
102,203--204,813--822,803--808,304--305,202,202--203,510--512,502--505,201--202
101,202,811--812,797--802,301--303,200--201,201,507--509,498--501,200
100,200--201,803--810,792--796,299--300,199,199--200,504--506,494--497,198--199
99,198--199,800--802,787--791,297--298,197--198,197--198,498--503,491--493,196--197
98,197,-,779--786,295--296,196,196,494--497,487--490,195
97,195--196,788--799,774--778,292--294,194--195,194--195,492--493,482--486,193--194
96,193--194,-,769--773,290--291,193,192--193,-,478--481,192
95,192,776--787,762--768,288--289,191--192,190--191,484--491,475--477,190--191
94,190--191,773--775,756--761,286--287,189--190,189,-,471--474,188--189
93,188--189,765--772,751--755,283--285,188,187--188,475--483,467--470,187
92,187,761--764,745--750,281--282,186--187,185--186,474,462--466,185--186
91,185--186,755--760,741--744,280,185,184,467--473,458--461,183--184
90,183--184,748--754,734--740,277--279,183--184,182--183,-,454--457,182
89,182,742--747,728--733,274--276,182,180--181,462--466,450--453,180--181
88,180--181,737--741,723--727,272--273,180--181,178--179,455--461,446--449,178--179
87,178--179,-,718--722,270--271,179,177,451--454,442--445,177
86,176--177,-,712--717,267--269,177--178,175--176,449--450,438--441,175--176
85,175,718--736,707--711,265--266,176,173--174,-,434--437,174
84,173--174,717,704--706,263--264,174--175,172,442--448,432--433,172--173
83,171--172,707--716,697--703,260--262,173,170--171,435--441,428--431,170--171
82,169--170,701--706,691--696,258--259,171--172,168--169,431--434,422--427,169
81,167--168,693--700,685--690,256--257,169--170,167,427--430,418--421,167--168
80,165--166,-,-,253--255,168,-,424--426,416--417,165--166
79,164,681--692,675--684,252,166--167,163--166,-,411--415,164
78,162--163,679--680,-,250--251,165,161--162,412--423,407--410,162--163
77,160--161,671--678,667--674,248--249,163--164,160,410--411,-,160--161
76,158--159,660--670,658--666,244--247,162,158--159,403--409,400--406,-
75,156--157,652--659,653--657,242--243,160--161,156--157,401--402,-,158--159
74,154--155,-,647--652,239--241,159,155,397--400,391--399,-
73,152--153,639--651,643--646,237--238,157--158,153--154,390--396,389--390,154--157
72,150--151,320--638,639--642,235--236,156,151--152,-,384--388,152--153
71,-,-,-,233--234,154--155,150,381--389,379--383,-
70,-,-,627--638,230--232,153,-,200--380,-,149--151
69,144--149,-,-,228--229,151--152,-,-,-,148
68,143,-,-,-,-,144--149,-,-,-
67,140--142,-,611--626,-,148--150,-,-,366--378,80--147
66,-,-,609--610,-,-,-,-,-,-
65,136--139,-,320--608,-,-,-,-,-,-
64,80--135,-,-,215--227,144--147,137--143,-,-,-
63,-,-,-,-,-,-,-,-,-
62,-,-,-,120--214,-,134--136,-,200--365,-
61,-,-,-,-,80--143,-,-,-,-
60,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,80--133,-,-,-
58,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-
52,-,-,-,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-
50,-,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-
