agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,1,4,0.4886,2,3,0.1147,0,1,0.2607,0,3,0.3026,2,1,0.322,1,2,0.2548,0,3,0.0482,0,0,0.1352,1,0,0.4986,2,3,0.0632,0,1,0.1598,0,2,0.3854,1,3,0.2112,0,2,0.2436,2,0,3
06,250,0.5107,13,115,0.4893,17,105,0.1147,2,27,0.2607,6,59,0.3026,7,69,0.322,15,66,0.255,7,57,0.047,1,11,0.136,7,27,0.5,14,111,0.062,1,14,0.1571,4,35,0.3859,8,88,0.2124,8,45,0.2446,9,52,29
07,250,0.5106,23,105,0.4894,28,94,0.1147,2,27,0.2607,11,54,0.3026,14,62,0.322,24,56,0.255,11,53,0.048,1,11,0.135,9,25,0.501,28,97,0.061,2,13,0.157,11,28,0.3859,19,77,0.2119,8,45,0.2452,13,48,51
08,250,0.5077,48,79,0.4923,60,63,0.1147,11,18,0.2607,25,40,0.3026,24,52,0.322,48,32,0.251,26,37,0.047,5,7,0.134,15,18,0.51,60,68,0.058,2,12,0.1583,12,28,0.3848,50,46,0.2133,23,30,0.2436,23,38,108
09,250,0.5112,61,67,0.4888,70,52,0.1147,15,14,0.2607,27,38,0.3026,30,46,0.322,59,22,0.25,33,30,0.047,6,6,0.135,24,10,0.509,59,68,0.059,9,6,0.1597,16,24,0.3844,54,42,0.213,34,19,0.2428,27,34,131
10,250,0.5107,51,77,0.4893,48,74,0.1147,9,20,0.2607,16,49,0.3026,17,59,0.322,57,24,0.25,26,36,0.047,1,11,0.134,15,18,0.514,48,80,0.056,9,5,0.1614,9,31,0.3824,45,51,0.2141,32,22,0.2422,13,48,99
11,225,0.5079,77,37,0.4921,55,56,0.1147,15,11,0.2607,19,40,0.3026,27,41,0.322,71,1,0.245,35,20,0.047,3,8,0.135,21,9,0.518,68,49,0.055,5,7,0.1612,13,23,0.383,64,22,0.2131,29,19,0.2427,26,29,132
12,225,0.5093,56,59,0.4907,65,45,0.1147,9,17,0.2607,21,38,0.3026,24,44,0.322,67,5,0.243,33,22,0.047,4,7,0.134,12,18,0.522,67,50,0.054,5,7,0.1624,15,22,0.3815,57,29,0.21560000000000001,22,27,0.2406,27,27,121
13,225,0.5128,48,67,0.4872,47,63,0.1147,8,18,0.2607,25,34,0.3026,9,59,0.322,54,18,0.237,24,29,0.047,1,10,0.135,19,11,0.527,52,67,0.053,0,12,0.1625,13,24,0.3822,42,44,0.2142,25,23,0.241,16,38,95
14,225,0.5143,51,65,0.4857,41,68,0.1147,1,25,0.2607,20,39,0.3026,16,52,0.322,55,17,0.235,24,29,0.046,1,9,0.138,9,22,0.528,54,65,0.053,4,8,0.1646,5,32,0.3851,54,33,0.2129,22,26,0.2374,11,42,92
