agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,1,4,0.4886,2,3,0.1147,0,1,0.2607,0,3,0.3026,2,1,0.322,1,2,0.2548,0,3,0.0482,0,0,0.1352,1,0,0.4986,2,3,0.0632,0,1,0.1598,0,2,0.3854,1,3,0.2112,0,2,0.2436,2,0,3
06,175,0.5107,13,76,0.4893,17,69,0.1147,2,18,0.2607,6,40,0.3026,7,46,0.322,15,41,0.255,7,38,0.047,1,7,0.136,7,17,0.5,14,74,0.062,1,10,0.1571,4,23,0.3859,8,60,0.2124,8,29,0.2446,9,34,29
07,175,0.5106,23,66,0.4894,28,58,0.1147,2,18,0.2607,11,35,0.3026,14,39,0.322,24,32,0.255,11,34,0.048,1,7,0.135,9,15,0.501,28,60,0.061,2,9,0.157,11,16,0.3859,19,49,0.2119,8,29,0.2452,13,30,51
08,175,0.5077,48,41,0.4923,60,26,0.1147,11,9,0.2607,25,21,0.3026,24,29,0.322,48,8,0.251,26,18,0.047,5,3,0.134,15,8,0.51,60,29,0.058,2,8,0.1583,12,16,0.3848,50,17,0.2133,23,14,0.2436,23,20,108
09,175,0.5112,61,28,0.4888,70,16,0.1147,15,5,0.2607,27,19,0.3026,30,23,0.322,59,0,0.25,33,11,0.047,6,2,0.135,24,0,0.509,59,30,0.059,9,1,0.1597,16,12,0.3844,54,13,0.213,34,3,0.2428,27,15,128
10,175,0.5107,51,38,0.4893,48,38,0.1147,9,11,0.2607,16,30,0.3026,17,36,0.322,57,0,0.25,26,18,0.047,1,7,0.134,15,8,0.514,48,42,0.056,9,1,0.1614,9,19,0.3824,45,22,0.2141,32,5,0.2422,13,29,98
11,150,0.5079,77,0,0.4921,55,19,0.1147,15,2,0.2607,19,20,0.3026,27,18,0.322,71,0,0.245,35,2,0.047,3,4,0.135,21,0,0.518,68,10,0.055,5,3,0.1612,13,11,0.383,64,0,0.2131,29,3,0.2427,26,10,109
12,150,0.5093,56,20,0.4907,65,9,0.1147,9,8,0.2607,21,18,0.3026,24,21,0.322,67,0,0.243,33,3,0.047,4,3,0.134,12,8,0.522,67,11,0.054,5,3,0.1624,15,9,0.3815,57,0,0.21560000000000001,22,10,0.2406,27,9,102
13,150,0.5128,48,29,0.4872,47,26,0.1147,8,9,0.2607,25,14,0.3026,9,36,0.322,54,0,0.237,24,12,0.047,1,6,0.135,19,1,0.527,52,27,0.053,0,8,0.1625,13,11,0.3822,42,15,0.2142,25,7,0.241,16,20,90
14,150,0.5143,51,26,0.4857,41,32,0.1147,1,16,0.2607,20,19,0.3026,16,29,0.322,55,0,0.235,24,11,0.046,1,6,0.138,9,12,0.528,54,25,0.053,4,4,0.1646,5,20,0.3851,54,4,0.2129,22,10,0.2374,11,25,85
15,150,0.5117,35,42,0.4883,52,21,0.1147,6,11,0.2607,32,7,0.3026,14,31,0.322,35,13,0.23,19,16,0.045,2,5,0.137,17,4,0.538,46,35,0.05,3,4,0.1657,9,16,0.3822,39,18,0.2157,23,9,0.2364,16,19,87
16,125,0.5115,36,28,0.4885,29,32,0.1147,6,8,0.2607,22,11,0.3026,7,31,0.322,32,8,0.226,13,15,0.046,4,2,0.14,13,4,0.538,36,31,0.05,1,5,0.1676,7,14,0.3786,29,18,0.2147,17,10,0.2391,14,16,65
