agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,1,4,0.4886,2,3,0.1147,0,1,0.2607,0,3,0.3026,2,1,0.322,1,2,0.2548,0,3,0.0482,0,0,0.1352,1,0,0.4986,2,3,0.0632,0,1,0.1598,0,2,0.3854,1,3,0.2112,0,2,0.2436,2,0,3
06,250,0.5107,11,117,0.4893,15,107,0.1147,2,27,0.2607,6,59,0.3026,5,71,0.322,13,68,0.255,7,57,0.047,1,11,0.136,6,28,0.5,11,114,0.062,1,14,0.1571,3,36,0.3859,6,90,0.2124,7,46,0.2446,9,52,25
07,250,0.5106,18,110,0.4894,27,95,0.1147,2,27,0.2607,11,54,0.3026,10,66,0.322,22,58,0.255,8,56,0.048,1,11,0.135,8,26,0.501,26,99,0.061,2,13,0.157,9,30,0.3859,15,81,0.2119,8,45,0.2452,13,48,45
08,250,0.5077,42,85,0.4923,47,76,0.1147,5,24,0.2607,20,45,0.3026,23,53,0.322,43,38,0.251,18,45,0.047,4,8,0.134,15,18,0.51,52,76,0.058,2,12,0.1583,12,28,0.3848,35,61,0.2133,23,30,0.2436,21,40,89
09,250,0.5112,55,73,0.4888,62,60,0.1147,15,14,0.2607,22,43,0.3026,22,54,0.322,58,22,0.25,27,36,0.047,3,9,0.135,22,12,0.509,57,70,0.059,8,7,0.1597,15,25,0.3844,43,53,0.213,33,20,0.2428,26,35,117
10,250,0.5107,10,118,0.4893,10,112,0.1147,3,26,0.2607,3,62,0.3026,4,72,0.322,11,70,0.25,9,54,0.047,0,12,0.134,2,32,0.514,8,120,0.056,2,12,0.1614,3,37,0.3824,9,87,0.2141,7,47,0.2422,2,59,20
11,225,0.5079,9,105,0.4921,12,99,0.1147,4,22,0.2607,2,57,0.3026,3,65,0.322,13,59,0.245,7,48,0.047,1,10,0.135,2,28,0.518,11,106,0.055,1,11,0.1612,2,34,0.383,11,75,0.2131,8,40,0.2427,1,54,21
12,225,0.5093,5,110,0.4907,9,101,0.1147,0,26,0.2607,2,57,0.3026,3,65,0.322,9,63,0.243,5,50,0.047,0,11,0.134,1,29,0.522,6,111,0.054,2,10,0.1624,1,36,0.3815,7,79,0.21560000000000001,3,46,0.2406,3,51,14
13,225,0.5128,5,110,0.4872,8,102,0.1147,1,25,0.2607,4,55,0.3026,1,67,0.322,10,62,0.237,4,49,0.047,0,11,0.135,3,27,0.527,9,110,0.053,0,12,0.1625,3,34,0.3822,5,81,0.2142,5,43,0.241,3,51,13
14,225,0.5143,6,110,0.4857,9,100,0.1147,0,26,0.2607,5,54,0.3026,2,66,0.322,8,64,0.235,6,47,0.046,1,9,0.138,2,29,0.528,5,114,0.053,1,11,0.1646,1,36,0.3851,11,76,0.2129,2,46,0.2374,1,52,15
15,225,0.5117,6,109,0.4883,5,105,0.1147,0,26,0.2607,7,52,0.3026,0,68,0.322,5,67,0.23,3,49,0.045,0,10,0.137,2,29,0.538,6,115,0.05,1,10,0.1657,2,35,0.3822,5,81,0.2157,5,44,0.2364,0,53,11
16,175,0.5115,2,88,0.4885,6,79,0.1147,2,18,0.2607,6,40,0.3026,1,52,0.322,1,55,0.226,3,37,0.046,0,8,0.14,5,20,0.538,2,92,0.05,0,9,0.1676,2,27,0.3786,2,64,0.2147,4,34,0.2391,2,40,8
17,175,0.512,6,84,0.488,7,78,0.1147,0,20,0.2607,4,42,0.3026,0,53,0.322,9,47,0.224,4,35,0.046,0,8,0.14,2,23,0.541,7,88,0.048,0,8,0.1698,2,28,0.3784,5,61,0.213,3,34,0.2388,3,39,13
18,175,0.5091,7,82,0.4909,5,81,0.1147,1,19,0.2607,6,40,0.3026,1,52,0.322,4,52,0.219,3,35,0.05,1,8,0.143,4,21,0.539,3,91,0.048,1,7,0.1772,4,27,0.3777,2,64,0.214,5,32,0.2311,1,39,12
19,175,0.515,0,90,0.485,10,75,0.1147,1,19,0.2607,5,41,0.3026,2,51,0.322,4,52,0.219,4,34,0.052,0,9,0.143,3,22,0.54,5,90,0.046,0,8,0.1805,2,30,0.3727,9,56,0.215,0,38,0.2317,1,40,10
20,100,0.5157,5,47,0.4843,8,40,0.1147,0,11,0.2607,5,21,0.3026,4,26,0.322,5,27,0.219,6,16,0.051,0,5,0.147,3,12,0.54,4,50,0.043,1,3,0.1717,0,17,0.3772,11,27,0.213,1,20,0.2381,2,22,13
21,100,0.5148,3,48,0.4852,10,39,0.1147,1,10,0.2607,10,16,0.3026,1,29,0.322,6,26,0.215,3,18,0.052,0,5,0.148,4,11,0.546,10,45,0.041,1,3,0.1722,0,17,0.3767,16,22,0.2125,2,19,0.2385,0,24,13
22,100,0.5159,0,52,0.4841,1,47,0.1147,0,11,0.2607,0,26,0.3026,0,30,0.322,1,31,0.213,0,21,0.054,0,5,0.147,0,15,0.546,1,54,0.04,0,4,0.1737,0,17,0.3732,1,36,0.21,0,21,0.2431,0,24,1
23,75,0.5106,0,38,0.4894,1,36,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,1,23,0.209,0,16,0.056,0,4,0.148,0,11,0.548,1,40,0.039,0,3,0.1707,0,13,0.3735,0,28,0.2104,0,16,0.2454,1,17,1
24,75,0.5095,1,37,0.4905,1,36,0.1147,0,9,0.2607,1,19,0.3026,0,23,0.322,1,23,0.205,0,15,0.057,0,4,0.144,0,11,0.554,2,40,0.039,0,3,0.1724,0,13,0.3684,1,27,0.2143,0,16,0.2448,1,17,2
2540,75,0.503,2,36,0.497,10,27,0.109,0,8,0.238,4,14,0.309,5,18,0.344,5,21,0.206,3,12,0.067,0,5,0.13,1,9,0.565,10,32,0.032,0,2,0.1712,0,13,0.377,9,19,0.2019,1,14,0.2499,4,15,12
4150,75,0.495,6,31,0.505,21,17,0.1203,0,9,0.2575,8,11,0.2943,3,19,0.3279,17,8,0.174,6,7,0.062,1,4,0.124,5,4,0.615,16,30,0.025,0,2,0.1798,2,11,0.379,10,18,0.2066,11,4,0.2346,5,13,27
5160,75,0.487,18,19,0.513,26,12,0.1183,1,8,0.2937,12,10,0.3009,9,14,0.287,23,0,0.119,11,0,0.048,1,3,0.117,5,4,0.695,28,24,0.022,0,2,0.1863,7,7,0.3704,7,21,0.2191,8,8,0.2242,23,0,39
6170,75,0.4741,7,29,0.5259,26,13,0.1197,1,8,0.2819,9,12,0.2931,6,16,0.3053,18,5,0.089,4,3,0.045,0,3,0.101,4,4,0.747,26,30,0.018,0,1,0.1821,0,14,0.3756,13,15,0.2164,10,6,0.2258,10,7,33
7180,50,0.4503,10,13,0.5497,8,19,0.1779,1,8,0.3311,4,13,0.243,6,6,0.248,9,3,0.079,0,4,0.042,0,2,0.088,1,3,0.777,19,20,0.014,0,1,0.182,3,6,0.3851,1,18,0.2143,7,4,0.2187,9,2,18
8190,50,0.3908,2,18,0.6092,4,26,0.236,0,12,0.3643,3,15,0.1952,4,6,0.2044,0,10,0.07,0,4,0.037,0,2,0.074,0,4,0.807,7,33,0.011,0,1,0.2064,1,9,0.3486,1,16,0.2311,0,12,0.2139,5,6,6
