agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,0,5,0.4886,0,5,0.1147,0,1,0.2607,0,3,0.3026,0,3,0.322,0,3,0.2548,0,3,0.0482,0,0,0.1352,0,1,0.4986,0,5,0.0632,0,1,0.1598,0,2,0.3854,0,4,0.2112,0,2,0.2436,0,2,0
06,250,0.5107,1,127,0.4893,2,120,0.1147,1,28,0.2607,0,65,0.3026,0,76,0.322,2,78,0.255,0,64,0.047,1,11,0.136,1,33,0.5,1,124,0.062,0,16,0.1571,0,39,0.3859,0,96,0.2124,1,52,0.2446,1,60,2
07,250,0.5106,3,125,0.4894,3,119,0.1147,0,29,0.2607,2,63,0.3026,3,73,0.322,1,80,0.255,1,63,0.048,0,12,0.135,3,31,0.501,2,123,0.061,0,15,0.157,1,38,0.3859,3,93,0.2119,0,53,0.2452,2,59,6
08,250,0.5077,10,117,0.4923,10,113,0.1147,0,29,0.2607,9,56,0.3026,4,72,0.322,9,72,0.251,4,59,0.047,0,12,0.134,5,28,0.51,13,114,0.058,0,14,0.1583,6,34,0.3848,6,90,0.2133,9,44,0.2436,1,60,20
09,250,0.5112,12,116,0.4888,15,107,0.1147,3,26,0.2607,4,61,0.3026,2,74,0.322,18,62,0.25,6,56,0.047,2,10,0.135,4,30,0.509,12,115,0.059,3,12,0.1597,1,39,0.3844,10,86,0.213,10,43,0.2428,6,55,27
10,250,0.5107,12,116,0.4893,11,111,0.1147,3,26,0.2607,5,60,0.3026,4,72,0.322,12,68,0.25,9,54,0.047,0,12,0.134,2,32,0.514,10,118,0.056,3,11,0.1614,3,37,0.3824,11,85,0.2141,8,46,0.2422,2,59,23
11,225,0.5079,12,102,0.4921,12,99,0.1147,5,21,0.2607,2,57,0.3026,4,64,0.322,14,58,0.245,7,48,0.047,1,10,0.135,3,27,0.518,13,104,0.055,1,11,0.1612,2,34,0.383,14,72,0.2131,8,40,0.2427,1,54,24
12,225,0.5093,6,109,0.4907,9,101,0.1147,1,25,0.2607,2,57,0.3026,3,65,0.322,9,63,0.243,5,50,0.047,0,11,0.134,2,28,0.522,6,111,0.054,2,10,0.1624,2,35,0.3815,7,79,0.21560000000000001,3,46,0.2406,3,51,15
13,225,0.5128,5,110,0.4872,10,100,0.1147,1,25,0.2607,5,54,0.3026,1,67,0.322,11,61,0.237,4,49,0.047,0,11,0.135,4,26,0.527,10,109,0.053,0,12,0.1625,4,33,0.3822,6,80,0.2142,5,43,0.241,3,51,15
14,225,0.5143,7,109,0.4857,11,98,0.1147,0,26,0.2607,5,54,0.3026,3,65,0.322,10,62,0.235,7,46,0.046,1,9,0.138,2,29,0.528,6,113,0.053,2,10,0.1646,1,36,0.3851,12,75,0.2129,3,45,0.2374,2,51,18
15,225,0.5117,8,107,0.4883,5,105,0.1147,1,25,0.2607,8,51,0.3026,0,68,0.322,5,67,0.23,3,49,0.045,0,10,0.137,3,28,0.538,7,114,0.05,1,10,0.1657,3,34,0.3822,6,80,0.2157,5,44,0.2364,0,53,13
16,175,0.5115,2,88,0.4885,6,79,0.1147,2,18,0.2607,6,40,0.3026,1,52,0.322,1,55,0.226,3,37,0.046,0,8,0.14,5,20,0.538,2,92,0.05,0,9,0.1676,2,27,0.3786,2,64,0.2147,4,34,0.2391,2,40,8
17,175,0.512,6,84,0.488,9,76,0.1147,0,20,0.2607,4,42,0.3026,0,53,0.322,11,45,0.224,4,35,0.046,0,8,0.14,2,23,0.541,9,86,0.048,0,8,0.1698,2,28,0.3784,6,60,0.213,3,34,0.2388,4,38,15
18,175,0.5091,7,82,0.4909,7,79,0.1147,2,18,0.2607,6,40,0.3026,2,51,0.322,4,52,0.219,3,35,0.05,1,8,0.143,4,21,0.539,4,90,0.048,2,6,0.1772,4,27,0.3777,3,63,0.214,5,32,0.2311,2,38,14
19,175,0.515,0,90,0.485,10,75,0.1147,1,19,0.2607,5,41,0.3026,2,51,0.322,4,52,0.219,4,34,0.052,0,9,0.143,3,22,0.54,5,90,0.046,0,8,0.1805,2,30,0.3727,9,56,0.215,0,38,0.2317,1,40,10
20,100,0.5157,7,45,0.4843,9,39,0.1147,0,11,0.2607,5,21,0.3026,6,24,0.322,6,26,0.219,6,16,0.051,0,5,0.147,3,12,0.54,7,47,0.043,1,3,0.1717,0,17,0.3772,11,27,0.213,2,19,0.2381,4,20,16
21,100,0.5148,3,48,0.4852,10,39,0.1147,1,10,0.2607,10,16,0.3026,1,29,0.322,6,26,0.215,3,18,0.052,0,5,0.148,4,11,0.546,10,45,0.041,1,3,0.1722,0,17,0.3767,16,22,0.2125,2,19,0.2385,0,24,13
22,100,0.5159,1,51,0.4841,1,47,0.1147,0,11,0.2607,0,26,0.3026,1,29,0.322,1,31,0.213,0,21,0.054,0,5,0.147,0,15,0.546,2,53,0.04,0,4,0.1737,0,17,0.3732,1,36,0.21,0,21,0.2431,1,23,2
23,75,0.5106,0,38,0.4894,1,36,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,1,23,0.209,0,16,0.056,0,4,0.148,0,11,0.548,1,40,0.039,0,3,0.1707,0,13,0.3735,0,28,0.2104,0,16,0.2454,1,17,1
24,75,0.5095,1,37,0.4905,1,36,0.1147,0,9,0.2607,1,19,0.3026,0,23,0.322,1,23,0.205,0,15,0.057,0,4,0.144,0,11,0.554,2,40,0.039,0,3,0.1724,0,13,0.3684,1,27,0.2143,0,16,0.2448,1,17,2
2540,75,0.503,4,34,0.497,13,24,0.109,0,8,0.238,5,13,0.309,6,17,0.344,8,18,0.206,3,12,0.067,0,5,0.13,2,8,0.565,14,28,0.032,0,2,0.1712,3,10,0.377,10,18,0.2019,2,13,0.2499,4,15,17
4150,75,0.495,6,31,0.505,16,22,0.1203,0,9,0.2575,8,11,0.2943,4,18,0.3279,11,14,0.174,7,6,0.062,1,4,0.124,4,5,0.615,11,35,0.025,0,2,0.1798,2,11,0.379,9,19,0.2066,8,7,0.2346,4,14,22
5160,75,0.487,11,26,0.513,9,29,0.1183,0,9,0.2937,6,16,0.3009,1,22,0.287,14,8,0.119,8,1,0.048,1,3,0.117,3,6,0.695,9,43,0.022,0,2,0.1863,2,12,0.3704,4,24,0.2191,5,11,0.2242,10,7,20
6170,75,0.4741,3,33,0.5259,9,30,0.1197,1,8,0.2819,5,16,0.2931,2,20,0.3053,5,18,0.089,1,6,0.045,0,3,0.101,3,5,0.747,9,47,0.018,0,1,0.1821,0,14,0.3756,5,23,0.2164,4,12,0.2258,4,13,12
7180,50,0.4503,5,18,0.5497,5,22,0.1779,1,8,0.3311,4,13,0.243,3,9,0.248,4,8,0.079,0,4,0.042,0,2,0.088,1,3,0.777,11,28,0.014,0,1,0.182,3,6,0.3851,0,19,0.2143,4,7,0.2187,5,6,10
8190,50,0.3908,0,20,0.6092,3,27,0.236,0,12,0.3643,2,16,0.1952,2,8,0.2044,0,10,0.07,0,4,0.037,0,2,0.074,0,4,0.807,4,36,0.011,0,1,0.2064,0,10,0.3486,1,16,0.2311,0,12,0.2139,3,8,3
