agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,0,5,0.4886,2,3,0.1147,0,1,0.2607,0,3,0.3026,2,1,0.322,0,3,0.2548,0,3,0.0482,0,0,0.1352,0,1,0.4986,2,3,0.0632,0,1,0.1598,0,2,0.3854,0,4,0.2112,0,2,0.2436,2,0,2
06,175,0.5107,13,76,0.4893,18,68,0.1147,3,17,0.2607,6,40,0.3026,7,46,0.322,15,41,0.255,8,37,0.047,1,7,0.136,7,17,0.5,14,74,0.062,1,10,0.1571,4,23,0.3859,8,60,0.2124,8,29,0.2446,10,33,30
07,175,0.5106,25,64,0.4894,30,56,0.1147,2,18,0.2607,13,33,0.3026,15,38,0.322,25,31,0.255,11,34,0.048,1,7,0.135,9,15,0.501,32,56,0.061,2,9,0.157,14,13,0.3859,20,48,0.2119,8,29,0.2452,13,30,55
08,175,0.5077,50,39,0.4923,68,18,0.1147,9,11,0.2607,24,22,0.3026,28,25,0.322,57,0,0.251,22,22,0.047,8,0,0.134,18,5,0.51,66,23,0.058,4,6,0.1583,12,16,0.3848,53,14,0.2133,25,12,0.2436,28,15,117
09,175,0.5112,69,20,0.4888,78,8,0.1147,16,4,0.2607,31,15,0.3026,34,19,0.322,66,0,0.25,30,14,0.047,6,2,0.135,29,0,0.509,73,16,0.059,9,1,0.1597,18,10,0.3844,66,1,0.213,34,3,0.2428,29,13,137
10,175,0.5107,50,39,0.4893,58,28,0.1147,9,11,0.2607,19,27,0.3026,18,35,0.322,62,0,0.25,23,21,0.047,3,5,0.134,18,5,0.514,53,37,0.056,11,0,0.1614,9,19,0.3824,52,15,0.2141,33,4,0.2422,14,28,102
11,150,0.5079,81,0,0.4921,61,13,0.1147,15,2,0.2607,21,18,0.3026,29,16,0.322,77,0,0.245,32,5,0.047,4,3,0.135,22,0,0.518,79,0,0.055,5,3,0.1612,15,9,0.383,69,0,0.2131,30,2,0.2427,28,8,113
12,150,0.5093,64,12,0.4907,70,4,0.1147,10,7,0.2607,23,16,0.3026,26,19,0.322,75,0,0.243,35,1,0.047,4,3,0.134,13,7,0.522,75,3,0.054,7,1,0.1624,18,6,0.3815,60,0,0.21560000000000001,23,9,0.2406,33,3,107
13,150,0.5128,60,17,0.4872,53,20,0.1147,10,7,0.2607,30,9,0.3026,12,33,0.322,62,0,0.237,27,9,0.047,1,6,0.135,24,0,0.527,60,19,0.053,2,6,0.1625,16,8,0.3822,48,9,0.2142,28,4,0.241,22,14,100
14,150,0.5143,56,21,0.4857,43,30,0.1147,2,15,0.2607,19,20,0.3026,19,26,0.322,59,0,0.235,22,13,0.046,1,6,0.138,10,11,0.528,61,18,0.053,5,3,0.1646,5,20,0.3851,53,5,0.2129,23,9,0.2374,18,18,88
15,150,0.5117,44,33,0.4883,56,17,0.1147,8,9,0.2607,34,5,0.3026,18,27,0.322,40,8,0.23,18,16,0.045,4,3,0.137,18,3,0.538,54,27,0.05,6,2,0.1657,9,16,0.3822,43,14,0.2157,24,8,0.2364,24,11,100
16,125,0.5115,40,24,0.4885,36,25,0.1147,8,6,0.2607,27,6,0.3026,6,32,0.322,37,3,0.226,13,15,0.046,4,2,0.14,18,0,0.538,42,25,0.05,1,5,0.1676,8,13,0.3786,33,14,0.2147,21,6,0.2391,16,14,76
17,125,0.512,27,37,0.488,45,16,0.1147,14,0,0.2607,14,19,0.3026,11,27,0.322,33,7,0.224,21,7,0.046,2,4,0.14,12,6,0.541,34,34,0.048,3,3,0.1698,4,17,0.3784,33,14,0.213,17,10,0.2388,18,12,72
