ID,RFW_combo,RFQ_combo
201017, ,227
201019, ,198
201020, ,210
201021, ,212
201022, ,237
201023, ,236
201024, ,204
201025, ,191
201026, ,225
201027, ,221
201028, ,228
201031, ,190
201032, ,239
202001, ,224
202002, ,213
202003, ,191
202004, ,215
203006, ,178
203007, ,226
203008, ,163
203009, ,210
203010, ,229
203011, ,182
203012, ,212
203013, ,212
203015, ,194
203016, ,204
203017, ,200
203018, ,221
203028, ,176
204004, ,234
204005, ,232
204007, ,226
204010, ,220
204011, ,215
204012, ,198
204013, ,212
204014, ,259
204017, ,201
205002, ,205
205007, ,200
205010, ,232
205012, ,228
205016, ,230
205017, ,257
205018, ,130
205019, ,190
205020, ,194
205021, ,232
205023, ,148
205027, ,146
205030, ,226
205031, ,228
205032, ,212
205035, ,241
205037, ,188
205038, ,207
205039, ,194
205040, ,207
206004, ,252
206007, ,205
206008, ,203
206009, ,204
206010, ,210
207009, ,182
207010, ,207
207011, ,218
207012, ,214
207013, ,177
207014, ,216
207015, ,221
207016, ,201
207017, ,172
207018, ,212
207019, ,212
207020, ,221
207021, ,210
208013, ,209
208015, ,192
208016, ,203
208017, ,236
208019, ,221
208021, ,215
208022, ,158
208023, ,146
208024, ,146
209007, ,227
209008, ,201
209015, ,173
210007, ,200
210008, ,226
210009, ,217
210010, ,210
210011, ,232
210012, ,219
210019, ,190
210025, ,252
210030, ,202
210031, ,209
210032, ,209
210034, ,205
210035, ,241
210036, ,218
210037, ,193
210040, ,242
210041, ,229
210042, ,204
210043, ,213
210046, ,194
210047, ,184
210048, ,177
211002, ,246
211004, ,236
211006, ,246
211007, ,231
211009, ,195
211010, ,173
211014, ,188
211016, ,240
211017, ,204
211018, ,187
211020, ,215
211021, ,201
211024, ,217
211027, ,199
211028, ,242
211029, ,178
211030, ,224
211032, ,237
211033, ,224
211034, ,183
211035, ,147
211036, ,175
211038, ,190
211039, ,198
211041, ,202
211042, ,225
211044, ,190
211049, ,189
211050, ,184
211051, ,177
211052, ,173
211062, ,191
211063, ,206
211064, ,213
211065, ,199
211066, ,182
211067, ,176
211068, ,178
211069, ,234
211071, ,203
211074, ,181
211075, ,183
212003, ,223
212004, ,165
212005, ,192
212006, ,202
212007, ,174
212008, ,186
212009, ,181
212010, ,167
212011, ,189
212012, ,179
212013, ,199
212014, ,205
212015, ,220
212016, ,199
212017, ,225
212018, ,186
212019, ,187
212020, ,196
212021, ,170
212022, ,126
212023, ,162
212024, ,207
212025, ,197
212026, ,218
212027, ,209
212028, ,180
212029, ,185
213002, ,169
213005, ,211
213008, ,210
213017, ,227
213018, ,222
214009, ,189
214012, ,193
214013, ,232
214014, ,196
214015, ,249
214017, ,213
214018, ,185
214021, ,254
214024, ,240
214028, ,213
214029, ,213
214031, ,222
214032, ,242
214034, ,224
214035, ,176
214040, ,212
214041, ,193
214044, ,209
214051, ,213
214052, ,213
214053, ,206
214056, ,186
214058, ,212
214060, ,234
214067, ,216
214068, ,212
214069, ,214
214072, ,224
214074, ,174
214075, ,169
216004, ,226
216005, ,223
216007, ,242
217015, ,221
217016, ,207
217017, ,223
217019, ,185
217020, ,171
217021, ,186
217022, ,232
218003, ,208
218004, ,199
218005, ,258
218006, ,227
218007, ,228
218008, ,223
218009, ,235
218010, ,217
218011, ,235
218012, ,215
218013, ,205
218014, ,188
219006, ,204
219007, ,178
219008, ,219
220016, ,194
220017, ,191
220018, ,190
220019, ,169
220020, ,160
220021, ,179
221001, ,181
221002, ,175
221003, ,197
221004, ,205
221005, ,168
221006, ,207
221007, ,174
221008, ,151
221009, ,211
221011, ,180
221012, ,201
221013, ,178
221014, ,179
221015, ,178
221016, ,160
221017, ,167
221018, ,165
221019, ,196
222023, ,253
222026, ,218
222028, ,224
223002, ,170
223005, ,201
223006, ,192
223007, ,216
223008, ,145
223009, ,159
223010, ,201
223011, ,217
223012, ,167
223013, ,233
223014, ,230
223015, ,201
223016, ,178
223017, ,172
223018, ,161
223019, ,203
223020, ,145
223021, ,194
223022, ,138
223023, ,201
223024, ,187
223027, ,223
223028, ,228
223029, ,220
223030, ,208
223031, ,182
223032, ,183
223033, ,222
223034, ,175
223036, ,176
223037, ,201
223042, ,205
223047, ,194
223048, ,198
223049, ,171
223051, ,204
223052, ,165
223053, ,197
223054, ,178
223055, ,208
223056, ,203
223057, ,133
223058, ,171
223061, ,173
223062, ,199
223063, ,216
223064, ,217
223065, ,192
223066, ,181
223067, ,187
223068, ,168
223069, ,177
223070, ,171
223071, ,141
223072, ,142
223073, ,173
223074, ,205
223075, ,167
225005, ,234
225006, ,225
225009, ,192
225010, ,231
226012, ,220
226013, ,214
226014, ,196
226015, ,221
226016, ,211
226017, ,200
226018, ,217
226019, ,205
226020, ,176
226021, ,212
226022, ,204
226023, ,197
226024, ,159
226025, ,177
226026, ,180
226027, ,199
226028, ,174
226029, ,229
226030, ,240
226031, ,182
226032, ,256
226033, ,189
226034, ,183
226036, ,214
226037, ,238
226038, ,193
226039, ,180
226040, ,217
226041, ,252
226042, ,226
226043, ,244
226044, ,242
226045, ,200
226046, ,192
226047, ,217
226048, ,188
226049, ,215
226050, ,233
226051, ,239
227004, ,120
227005, ,226
227006, ,231
227007, ,217
227008, ,218
227009, ,210
227010, ,218
227011, ,208
227012, ,170
227013, ,191
227014, ,228
227015, ,179
227016, ,192
227017, ,212
227020, ,155
227021, ,239
227026, ,210
228004, ,203
228006, ,231
228007, ,186
228009, ,195
228010, ,187
231022, ,175
231023, ,201
231024, ,178
231025, ,207
231026, ,260
231027, ,237
231028, ,119
231029, ,207
231030, ,190
231031, ,201
231032, ,221
231033, ,231
231034, ,158
231035, ,206
231036, ,214
231037, ,196
231038, ,176
231039, ,226
231040, ,247
231041, ,220
231042, ,193
231043, ,164
231044, ,250
231045, ,186
231046, ,199
231047, ,227
231048, ,156
231050, ,162
232001, ,180
232002, ,172
232008, ,223
232009, ,179
232010, ,194
232011, ,222
232012, ,232
232013, ,206
232014, ,182
232017, ,215
232018, ,176
232022, ,196
232023, ,193
232024, ,221
232027, ,209
232028, ,218
232029, ,207
232032, ,199
232050, ,212
232051, ,216
232052, ,225
232053, ,182
232058, ,213
232059, ,223
232060, ,219
232063, ,223
232064, ,210
232066, ,202
232067, ,196
232069, ,188
232071, ,193
232072, ,243
232073, ,220
232074, ,214
232075, ,198
234017, ,236
234018, ,200
234019, ,191
234020, ,185
234021, ,226
234038, ,202
234039, ,149
234040, ,201
234041, ,189
234042, ,218
234043, ,200
234044, ,217
234047, ,195
234048, ,260
234049, ,188
234050, ,212
234051, ,222
235001, ,208
235007, ,233
235008, ,220
235009, ,197
235010, ,162
235019, ,227
235020, ,205
235022, ,169
235024, ,200
235026, ,247
235028, ,236
236001,209, 
236003,235, 
236004,252, 
236005,219, 
236006, ,201
236007, ,249
236008, ,231
236009, ,210
236010, ,200
236011, ,221
236012, ,240
236013, ,234
236015, ,202
236016, ,245
236017, ,216
236019, ,216
236022, ,188
236023, ,231
236024, ,182
236025, ,209
236026, ,220
236027, ,201
236029, ,236
236031, ,204
236041, ,240
236043, ,219
236044, ,217
236045,230, 
236047,185, 
236048,232, 
239001, ,211
239005, ,224
239007, ,244
239011, ,195
239012, ,215
239013, ,231
239016, ,209
239017, ,221
239019, ,231
239020, ,206
239021,180, 
239022, ,183
240004, ,210
240005, ,201
240006, ,214
240007, ,214
240008,203, 
240009, ,225
240011, ,180
240013, ,211
240014, ,213
240015, ,229
240016, ,189
240025,162, 
240027, ,214
240028, ,243
240029, ,247
240030, ,215
240031, ,225
240032, ,249
240033, ,168
240034, ,210
240035, ,185
241001, ,220
241003, ,163
241008, ,195
241009, ,188
241010, ,168
241012, ,212
241014, ,215
241015, ,219
241016, ,200
241017, ,229
241020, ,232
241022, ,215
241024, ,178
241028, ,239
243001, ,177
243004, ,194
243005, ,174
243006, ,198
243007, ,167
243008, ,189
243009, ,246
243011, ,208
243012, ,137
243013, ,193
243014, ,169
243017, ,155
243019, ,230
243023, ,252
243024, ,169
243025, ,182
243027, ,238
243029, ,163
243030, ,177
243031, ,183
243032, ,183
243033, ,153
244001,132, 
244002,154, 
244003,164, 
244005,181, 
244006,139, 
244007,121, 
244008, ,179
244009, ,133
244010, ,173
244011, ,154
244012, ,139
244013, ,131
244014, ,124
244015, ,125
244016, ,191
244018, ,177
244019, ,119
244020, ,110
244021, ,110
244022, ,112
244023, ,124
244024, ,155
244025, ,106
244026, ,110
244027, ,108
244028, ,163
244030, ,110
244031, ,109
244032, ,105
244033, ,100
244034, ,158
244035, ,136
244036, ,127
244037, ,117
244038, ,145
244039, ,123
244040, ,145
244041, ,137
244042, ,132
244043, ,134
244044, ,124
244045, ,122
244046, ,142
246001, ,177
246002, ,224
246003, ,223
246004, ,194
246005, ,231
246006, ,202
246007, ,243
246008, ,247
246009, ,248
246010, ,169
246011, ,133
246012,161, 
246013, ,200
246017, ,148
248001,153, 
248004,161, 
248005, ,184
248006, ,210
248007, ,230
248008, ,147
248011, ,135
248012, ,187
248013, ,174
248014, ,185
248016, ,244
248017, ,177
248023, ,230
248024, ,221
248025, ,207
248030, ,163
248031, ,222
248033, ,244
248034, ,215
248035, ,184
248036, ,162
248037, ,186
248039, ,159
248040, ,172
248041, ,204
248042, ,172
248043, ,176
248045, ,155
248046, ,182
248047, ,213
248048, ,139
248049, ,223
