raw,ss
80,58
81,58
82,58
83,58
84,58
85,58
86,58
87,58
88,58
89,58
90,58
91,58
92,58
93,58
94,58
95,58
96,58
97,58
98,58
99,58
100,58
101,58
102,58
103,58
104,58
105,58
106,58
107,58
108,58
109,58
110,58
111,58
112,58
113,58
114,58
115,58
116,58
117,58
118,58
119,58
120,58
121,58
122,58
123,58
124,58
125,58
126,58
127,58
128,58
129,58
130,58
131,58
132,58
133,62
134,62
135,63
136,64
137,64
138,64
139,64
140,64
141,64
142,64
143,64
144,64
145,64
146,64
147,64
148,70
149,70
150,70
151,71
152,71
153,71
154,71
155,73
156,73
157,74
158,74
159,74
160,76
161,76
162,77
163,77
164,78
165,78
166,79
167,80
168,80
169,81
170,81
171,82
172,82
173,83
174,83
175,84
176,84
177,85
178,85
179,86
180,86
181,87
182,87
183,88
184,88
185,89
186,90
187,90
188,91
189,91
190,92
191,92
192,93
193,93
194,94
195,94
196,95
197,96
198,96
199,97
200,97
201,98
202,98
203,99
204,99
205,100
206,101
207,101
208,102
209,102
210,103
211,103
212,104
213,104
214,105
215,106
216,106
217,107
218,107
219,108
220,108
221,109
222,109
223,110
224,111
225,111
226,112
227,112
228,113
229,113
230,114
231,115
232,115
233,116
234,116
235,116
236,118
237,118
238,119
239,119
240,120
241,120
242,121
243,121
244,122
245,122
246,123
247,124
248,124
249,125
250,126
251,126
252,126
253,127
254,128
255,128
256,129
257,130
258,130
259,130
260,130
