raw,K-Fall,K-Spring,1-Fall,1-Spring
0,73,61,54,49
1,76,64,57,52
2,80,67,60,55
3,83,70,63,57
4,86,73,65,60
5,89,76,68,63
6,91,79,71,65
7,94,81,73,68
8,96,83,75,70
9,99,86,78,72
10,101,88,80,74
11,103,90,82,76
12,105,92,84,79
13,107,94,86,81
14,109,96,88,83
15,111,98,90,85
16,113,100,92,86
17,115,102,94,88
18,117,104,95,90
19,119,105,97,92
20,120,107,99,94
21,122,109,101,96
22,124,110,102,97
23,125,112,104,99
24,127,114,106,101
25,128,115,107,103
26,130,117,109,104
27,130,118,110,106
28,130,120,112,107
29,130,121,113,109
30,130,122,115,111
31,130,124,116,112
32,130,125,118,114
33,130,127,119,115
34,130,128,120,117
35,130,129,122,118
36,130,130,123,120
37,130,130,125,121
38,130,130,126,123
39,130,130,127,124
40,130,130,128,126
41,130,130,130,127
42,130,130,130,129
43,130,130,130,130
44,130,130,130,130
45,130,130,130,130
46,130,130,130,130
47,130,130,130,130
48,130,130,130,130
49,130,130,130,130
50,130,130,130,130
51,130,130,130,130
52,130,130,130,130
53,130,130,130,130
54,130,130,130,130
55,130,130,130,130
56,130,130,130,130
57,130,130,130,130
58,130,130,130,130
59,130,130,130,130
60,130,130,130,130
61,130,130,130,130
62,130,130,130,130
63,130,130,130,130
64,130,130,130,130
65,130,130,130,130
66,130,130,130,130
67,130,130,130,130
68,130,130,130,130
