raw,ss
80,59
81,59
82,59
83,59
84,59
85,59
86,59
87,59
88,59
89,59
90,59
91,59
92,59
93,59
94,59
95,59
96,59
97,59
98,59
99,59
100,59
101,59
102,59
103,59
104,59
105,59
106,59
107,59
108,59
109,59
110,59
111,59
112,59
113,59
114,59
115,59
116,59
117,59
118,59
119,59
120,59
121,59
122,59
123,59
124,59
125,59
126,59
127,59
128,59
129,59
130,59
131,59
132,59
133,59
134,59
135,59
136,59
137,59
138,59
139,59
140,59
141,62
142,62
143,63
144,63
145,63
146,63
147,63
148,63
149,63
150,69
151,69
152,69
153,71
154,72
155,72
156,73
157,73
158,75
159,75
160,76
161,77
162,77
163,78
164,79
165,79
166,80
167,81
168,82
169,82
170,83
171,84
172,84
173,85
174,86
175,86
176,87
177,88
178,88
179,89
180,89
181,90
182,91
183,91
184,92
185,93
186,93
187,94
188,94
189,95
190,96
191,96
192,97
193,97
194,98
195,99
196,99
197,100
198,100
199,101
200,101
201,102
202,103
203,103
204,104
205,104
206,105
207,105
208,106
209,107
210,107
211,108
212,108
213,109
214,109
215,110
216,110
217,111
218,111
219,112
220,112
221,113
222,113
223,114
224,114
225,115
226,115
227,116
228,116
229,117
230,117
231,117
232,118
233,119
234,119
235,120
236,120
237,121
238,121
239,122
240,122
241,123
242,123
243,124
244,124
245,125
246,125
247,125
248,126
249,127
250,127
251,127
252,128
253,128
254,129
255,129
256,129
257,130
258,130
259,130
260,130
