original_age_range,age_min,age_max
5.0-5.3,60,63
5.4-5.7,64,67
5.8-5.11,68,71
6.0-6.3,72,75
6.4-6.7,76,79
6.8-6.11,80,83
7.0-7.3,84,87
7.4-7.7,88,91
7.8-7.11,92,95
8.0-8.5,96,101
8.6-8.11,102,107
9.0-9.5,108,113
9.6-9.11,114,119
10.0-10.5,120,125
10.6-10.11,126,131
11.0-11.5,132,137
11.6-11.11,138,143
12.0-12.5,144,149
12.6-12.11,150,155
13.0-13.11,156,167
14.0-14.11,168,179
15.0-16.11,180,203
17.0-18.11,204,227
18.0-23.11,216,287
24.0-39.11,288,479
40.0-49.11,480,599
50.0-59.11,600,719
60.0-69.11,720,839
70.0-89.11,840,1079
