ID,demo_wt,age,group,raw
309026,0.5889192136996854,6.306010928961749,6.512841221824458,58
309033,0.9404385812384028,5.098360655737705,5.691408979574784,96
309043,1.3208212996236497,6.67945205479452,6.512841221824458,289
310005,1.0456574822307532,7.3469945355191255,7.207066573316953,99
310007,0.7271074524755926,7.991780821917808,8.081294902661215,87
310008,0.4971277528654718,7.8931506849315065,8.081294902661215,85
310009,0.48184829280377006,7.756164383561644,8.081294902661215,112
310010,0.703540949508289,7.986301369863014,8.081294902661215,110
310011,0.4662309597899385,7.931506849315069,8.081294902661215,87
310012,0.7501641062950362,6.2076502732240435,6.512841221824458,62
310013,0.703540949508289,6.846575342465753,6.512841221824458,70
310014,0.860537847500461,7.483606557377049,7.207066573316953,157
310017,0.5137800353960353,7.9150684931506845,8.081294902661215,90
310019,0.42971975459489314,6.96986301369863,7.207066573316953,47
310022,0.7501641062950362,6.756830601092896,6.512841221824458,71
313003,1.1615604754612625,7.2923497267759565,7.207066573316953,188
314007,0.7815229878850306,8.153005464480874,8.081294902661215,115
314008,1.2385362594615668,7.450819672131147,7.207066573316953,151
314010,1.2385362594615668,8.344262295081966,8.081294902661215,146
314012,1.070597033468632,7.775956284153006,8.081294902661215,96
314014,0.8333139587191759,8.087431693989071,8.081294902661215,181
315001,0.7271074524755926,7.2103825136612025,7.207066573316953,160
315002,1.230815545003153,7.398907103825136,7.207066573316953,95
315003,0.7752923446005991,6.2896174863387975,6.512841221824458,81
315004,1.230815545003153,7.928767123287671,8.081294902661215,201
315005,1.3123808130523746,6.483606557377049,6.512841221824458,121
315006,1.5054750693721222,5.674863387978142,5.691408979574784,128
315008,0.7752923446005991,7.8,8.081294902661215,126
315009,1.1149524575599827,6.368852459016393,6.512841221824458,97
315010,1.230815545003153,5.813698630136987,5.691408979574784,111
315011,1.230815545003153,7.426229508196721,7.207066573316953,204
315012,1.230815545003153,5.46448087431694,5.691408979574784,107
315013,1.0806838586982452,7.756164383561644,8.081294902661215,128
315014,1.0806838586982452,6.758904109589041,6.512841221824458,186
315015,1.1523000070066118,7.824657534246575,8.081294902661215,175
315016,1.230815545003153,6.109289617486339,5.691408979574784,119
315017,1.230815545003153,5.863013698630137,5.691408979574784,121
315018,0.8893632737258577,8.21311475409836,8.081294902661215,132
315019,1.230815545003153,6.439890710382514,6.512841221824458,144
315020,1.0806838586982452,6.743169398907104,6.512841221824458,116
316003,1.0456574822307532,7.975342465753425,8.081294902661215,219
316004,1.0456574822307532,5.483606557377049,5.691408979574784,99
317005,1.2385362594615668,7.857534246575343,8.081294902661215,140
317008,0.8333139587191759,5.956164383561644,5.691408979574784,78
317011,0.8333139587191759,6.956164383561644,7.207066573316953,86
317016,1.1615604754612625,7.603825136612022,7.207066573316953,122
318015,1.408351184817493,6.73224043715847,6.512841221824458,225
318018,1.408351184817493,7.459016393442623,7.207066573316953,272
318019,1.408351184817493,6.6530054644808745,6.512841221824458,201
318021,1.408351184817493,5.906849315068493,5.691408979574784,96
318022,1.408351184817493,7.612021857923497,7.207066573316953,254
318023,1.408351184817493,5.797814207650273,5.691408979574784,158
318024,2.0276597582797544,8.363387978142077,8.081294902661215,98
318025,1.3208212996236497,6.502732240437158,6.512841221824458,116
318026,1.408351184817493,8.243169398907105,8.081294902661215,269
318027,1.3208212996236497,5.8224043715847,5.691408979574784,140
319001,0.7501641062950362,8.256830601092895,8.081294902661215,87
321012,0.9184451186597246,7.508196721311475,7.207066573316953,186
323003,0.9404385812384028,5.51912568306011,5.691408979574784,93
323010,0.8819897497714659,6.7076502732240435,6.512841221824458,144
325008,1.2004692531390824,5.898907103825136,5.691408979574784,104
326006,0.958189112782605,6.278688524590164,6.512841221824458,90
326023,0.63498426072445735,5.51912568306011,5.691408979574784,57
326025,1.6219804253831362,5.693989071038251,5.691408979574784,93
326026,0.63498426072445735,6.806010928961749,6.512841221824458,87
326027,2.2608865894826655,6.912568306010929,7.207066573316953,93
327004,0.7271074524755926,6.038251366120218,5.691408979574784,96
327007,1.1523000070066118,7.136612021857924,7.207066573316953,92
327013,1.230815545003153,6.213114754098361,6.512841221824458,108
327024,1.0456574822307532,6.538251366120218,6.512841221824458,104
327025,1.1149524575599827,5.7923497267759565,5.691408979574784,105
327033,1.1523000070066118,6.136612021857924,6.512841221824458,123
327038,1.1149524575599827,8.467213114754099,8.081294902661215,174
327041,1.0456574822307532,6.983561643835617,7.207066573316953,143
328001,1.408351184817493,7.800546448087432,8.081294902661215,256
328003,0.8886771118259256,7.945355191256831,8.081294902661215,144
328004,1.455526708003746,8.363387978142077,8.081294902661215,114
328005,1.3208212996236497,6.948087431693989,7.207066573316953,164
328006,1.3208212996236497,8.30327868852459,8.081294902661215,188
328007,1.3650648352680397,7.530054644808743,7.207066573316953,167
328008,1.455526708003746,8.426229508196721,8.081294902661215,263
328009,1.086987601031741,7.355191256830601,7.207066573316953,110
331001,1.3208212996236497,5.811475409836065,5.691408979574784,139
333011,1.408351184817493,5.942465753424657,5.691408979574784,183
333013,1.3208212996236497,6.442622950819672,6.512841221824458,155
336006,0.8886771118259256,6.620218579234972,6.512841221824458,126
336014,0.7681770092430881,5.573770491803279,5.691408979574784,110
338003,1.1149524575599827,5.494535519125683,5.691408979574784,94
338005,1.0456574822307532,5.683060109289618,5.691408979574784,92
338007,1.1523000070066118,5.743169398907104,5.691408979574784,108
348002,1.455526708003746,7.2164383561643834,7.207066573316953,291
348003,1.455526708003746,6.8712328767123285,7.207066573316953,252
348004,1.3650648352680397,7.024657534246575,7.207066573316953,225
348005,1.3650648352680397,7.326027397260274,7.207066573316953,191
348006,1.3650648352680397,7.304109589041096,7.207066573316953,218
364003,0.7501641062950362,5.890410958904109,5.691408979574784,68
364004,0.9637705673963912,6.945205479452055,7.207066573316953,99
364005,0.7501641062950362,6.912328767123288,7.207066573316953,136
364006,1.0456574822307532,7.358904109589041,7.207066573316953,136
364007,1.0456574822307532,8.158904109589042,8.081294902661215,202
364008,0.9637705673963912,8.024657534246575,8.081294902661215,174
364009,0.7271074524755926,8.515068493150684,8.081294902661215,138
365005,0.7217765276271261,8.621917808219179,8.081294902661215,120
365006,1.4607942024438196,5.9150684931506845,5.691408979574784,89
365008,0.8695110727074995,7.909589041095891,8.081294902661215,130
365011,1.5211733525798812,6.758904109589041,6.512841221824458,101
