ID,group,group2,raw
201001,5,5.5,17
207023,5,5.5,6
207024,5,5.5,7
207025,5,5.5,6
207027,5,5.5,6
207029,5,5.5,8
207030,5,5.5,6
210039,5,5.5,1
213009,5,5.5,14
214064,5,5.5,20
225001,5,5.5,16
226053,5,5.5,10
226054,5,5.5,14
226057,5,5.5,20
226058,5,5.5,17
232055,5,5.5,15
234034,5,5.5,20
240023,5,5.5,1
262054,5,5.5,14
262061,5,5.5,9
305011,5,5.5,21
309033,5,5.5,25
309036,5,5.5,11
315012,5,5.5,12
316004,5,5.5,11
323003,5,5.5,1
326023,5,5.5,1
336014,5,5.5,11
338003,5,5.5,15
205004,5.67,5.5,19
205029,5.67,5.5,19
207002,5.67,5.5,6
208011,5.67,5.5,3
210044,5.67,5.5,16
211043,5.67,5.5,13
214066,5.67,5.5,11
215002,5.67,5.5,21
218001,5.67,5.5,23
220003,5.67,5.5,6
225002,5.67,5.5,23
225003,5.67,5.5,19
226001,5.67,5.5,1
226002,5.67,5.5,4
226004,5.67,5.5,13
226006,5.67,5.5,23
226010,5.67,5.5,18
226060,5.67,5.5,15
232005,5.67,5.5,13
232025,5.67,5.5,16
240021,5.67,5.5,15
240036,5.67,5.5,3
241007,5.67,5.5,1
241018,5.67,5.5,2
262063,5.67,5.5, 
309035,5.67,5.5,13
315006,5.67,5.5,1
315010,5.67,5.5,1
315017,5.67,5.5,10
317008,5.67,5.5,14
318021,5.67,5.5,8
318023,5.67,5.5,21
318027,5.67,5.5,21
325008,5.67,5.5,4
326025,5.67,5.5,1
327025,5.67,5.5,3
331001,5.67,5.5,21
333011,5.67,5.5,19
338005,5.67,5.5,13
338007,5.67,5.5,16
364003,5.67,5.5,9
365006,5.67,5.5, 
206001,6,6.5,21
209019,6,6.5,20
213003,6,6.5,15
213010,6,6.5,22
213019,6,6.5,1
214054,6,6.5,21
214055,6,6.5,17
214057,6,6.5,8
214062,6,6.5,15
214071,6,6.5,8
217001,6,6.5,1
225004,6,6.5,20
226005,6,6.5,20
226007,6,6.5,21
226011,6,6.5,11
226056,6,6.5,23
234032,6,6.5,16
234033,6,6.5,16
234035,6,6.5,12
240002,6,6.5,22
240003,6,6.5,13
240020,6,6.5,1
240038,6,6.5,14
241021,6,6.5,16
243026,6,6.5,19
262047,6,6.5,14
262049,6,6.5,21
262055,6,6.5,19
262057,6,6.5,20
269012,6,6.5,20
302002,6,6.5,11
310012,6,6.5,10
315003,6,6.5,22
315016,6,6.5,10
326006,6,6.5,4
327004,6,6.5,19
327013,6,6.5,14
327033,6,6.5,22
207001,6.33,6.5,11
207022,6.33,6.5,13
207026,6.33,6.5,17
207028,6.33,6.5,4
207031,6.33,6.5,13
207032,6.33,6.5,14
214065,6.33,6.5,15
220004,6.33,6.5,11
220007,6.33,6.5,7
220010,6.33,6.5,14
232006,6.33,6.5,20
232054,6.33,6.5,20
232056,6.33,6.5,22
234029,6.33,6.5,21
241025,6.33,6.5,24
241027,6.33,6.5,20
302001,6.33,6.5,15
309026,6.33,6.5,11
315005,6.33,6.5,21
315009,6.33,6.5,15
315019,6.33,6.5,23
318025,6.33,6.5,20
327024,6.33,6.5,24
333013,6.33,6.5,20
336006,6.33,6.5,18
205013,6.67,6.5,14
205028,6.67,6.5,17
207004,6.67,6.5,6
207007,6.67,6.5,15
208001,6.67,6.5,12
210016,6.67,6.5,21
210018,6.67,6.5,23
211008,6.67,6.5,7
211072,6.67,6.5,16
211073,6.67,6.5,25
213016,6.67,6.5,20
214002,6.67,6.5,15
214025,6.67,6.5,20
214033,6.67,6.5,19
214059,6.67,6.5,21
214073,6.67,6.5,11
217005,6.67,6.5,12
226003,6.67,6.5,19
231014,6.67,6.5,4
231015,6.67,6.5,3
232003,6.67,6.5,21
234023,6.67,6.5,21
234028,6.67,6.5,22
234030,6.67,6.5,21
235003,6.67,6.5,18
235004,6.67,6.5,20
240022,6.67,6.5,6
240040,6.67,6.5,24
241023,6.67,6.5,23
241029,6.67,6.5,20
248038,6.67,6.5,17
257003,6.67,6.5,23
262027,6.67,6.5,19
262051,6.67,6.5,20
262071,6.67,6.5,20
305005,6.67,6.5,23
305014,6.67,6.5,24
305020,6.67,6.5,16
305026,6.67,6.5,17
309014,6.67,6.5,19
309043,6.67,6.5,22
310013,6.67,6.5,20
310022,6.67,6.5,20
315014,6.67,6.5,24
315020,6.67,6.5,23
317011,6.67,6.5,17
318006,6.67,6.5,8
318015,6.67,6.5,24
318019,6.67,6.5,21
323010,6.67,6.5,18
326026,6.67,6.5,1
326027,6.67,6.5,1
328005,6.67,6.5,25
348003,6.67,6.5,23
364004,6.67,6.5,24
364005,6.67,6.5,16
365011,6.67,6.5,12
201008,7,7.5,9
203001,7,7.5,19
203002,7,7.5,15
205036,7,7.5,18
206005,7,7.5,21
207006,7,7.5,13
210001,7,7.5,20
211056,7,7.5,16
212001,7,7.5,16
213013,7,7.5,20
214003,7,7.5,19
214016,7,7.5,19
217003,7,7.5,17
217007,7,7.5,20
220008,7,7.5,18
225008,7,7.5,12
232026,7,7.5,23
234007,7,7.5,20
234024,7,7.5,22
234025,7,7.5,21
234026,7,7.5,20
234031,7,7.5,21
238002,7,7.5,23
240039,7,7.5,19
243022,7,7.5,15
257005,7,7.5,21
262043,7,7.5,21
262053,7,7.5,19
262056,7,7.5,23
269011,7,7.5,24
302006,7,7.5,23
302007,7,7.5,16
305019,7,7.5,17
309015,7,7.5,26
309021,7,7.5,24
310005,7,7.5,22
310019,7,7.5,19
313003,7,7.5,23
314008,7,7.5,17
315001,7,7.5,23
315002,7,7.5,16
315011,7,7.5,23
318018,7,7.5,25
327007,7,7.5,23
327041,7,7.5,26
328009,7,7.5,21
348002,7,7.5,17
348004,7,7.5,23
348005,7,7.5,19
348006,7,7.5,21
364006,7,7.5,19
365019,7,7.5,22
205009,7.5,7.5,17
205014,7.5,7.5,18
206002,7.5,7.5,24
211057,7.5,7.5,26
217008,7.5,7.5,20
220011,7.5,7.5,21
220015,7.5,7.5,19
226008,7.5,7.5,18
226059,7.5,7.5,24
232030,7.5,7.5,24
232065,7.5,7.5,21
234001,7.5,7.5,22
234004,7.5,7.5,20
234045,7.5,7.5,22
234046,7.5,7.5,20
240037,7.5,7.5,16
241019,7.5,7.5,20
243034,7.5,7.5,24
248052,7.5,7.5,14
257001,7.5,7.5,24
257002,7.5,7.5,23
257004,7.5,7.5,21
269013,7.5,7.5,24
302005,7.5,7.5,21
310008,7.5,7.5,21
310009,7.5,7.5,17
310011,7.5,7.5,21
310014,7.5,7.5,21
310017,7.5,7.5,19
314012,7.5,7.5,15
315004,7.5,7.5,25
315008,7.5,7.5,23
315013,7.5,7.5,23
315015,7.5,7.5,24
317005,7.5,7.5,22
317016,7.5,7.5,22
318022,7.5,7.5,22
321012,7.5,7.5,25
328001,7.5,7.5,22
328003,7.5,7.5,24
328007,7.5,7.5,24
365008,7.5,7.5,23
365016,7.5,7.5,20
365018,7.5,7.5,21
365021,7.5,7.5,23
365022,7.5,7.5,22
201010,8,8.67,22
203003,8,8.67,22
203004,8,8.67,25
204001,8,8.67,25
204006,8,8.67,17
205001,8,8.67,19
205008,8,8.67,25
206011,8,8.67,21
207008,8,8.67,18
214001,8,8.67,19
214004,8,8.67,19
214005,8,8.67,20
214006,8,8.67,23
214027,8,8.67,25
214039,8,8.67,21
214046,8,8.67,21
217006,8,8.67,14
217011,8,8.67,4
217012,8,8.67,18
217013,8,8.67,18
222029,8,8.67,20
223003,8,8.67,22
226055,8,8.67,24
232004,8,8.67,23
234010,8,8.67,24
234012,8,8.67,21
235005,8,8.67,24
257012,8,8.67,20
257016,8,8.67,22
257017,8,8.67,20
269001,8,8.67,21
310007,8,8.67,18
310010,8,8.67,18
314007,8,8.67,21
314010,8,8.67,23
314014,8,8.67,23
315018,8,8.67,22
316003,8,8.67,25
318024,8,8.67,24
318026,8,8.67,25
319001,8,8.67,23
327038,8,8.67,23
328004,8,8.67,23
328006,8,8.67,24
328008,8,8.67,21
364007,8,8.67,23
364008,8,8.67,23
364009,8,8.67,25
365005,8,8.67,21
365012,8,8.67,21
365017,8,8.67,22
365020,8,8.67,24
365023,8,8.67,22
