ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
217011,,8:0-9:3,2_Spring,male,HS_grad,black,northeast,0.9132736349838475,4,4,65,59,27,25,19,17,37,34,30,27,178,163
217012,,8:0-9:3,2_Spring,female,HS_grad,white,northeast,1.3074206816031795,18,24,39,51,20,26,18,24,29,38,21,27,133,174
217013,,8:0-9:3,2_Spring,male,some_college,black,northeast,0.8681725891312221,18,16,28,24,21,18,20,17,20,17,23,20,159,138
218001,,5:8-5:11,K_Spring,female,some_college,hispanic,west,0.699434022927801,23,16,62,43,18,13,18,13,20,14,30,21,84,59
220003,,5:8-5:11,K_Spring,male,HS_grad,black,midwest,0.8342957193742065,6,5,30,25,6,5,14,12,17,14,12,10,107,89
220004,1,6:4-6:7,K_Spring,male,HS_grad,black,midwest,0.8342957193742065,11,11,36,36,18,18,13,13,19,19,25,25,113,113
220007,,6:4-6:7,1_Spring,female,HS_grad,black,midwest,0.7825100313563148,7,5,49,38,20,16,15,12,29,23,21,16,113,88
220008,,7:0-7:5,1_Spring,female,HS_grad,black,midwest,0.7825100313563148,18,14,51,40,8,6,15,12,19,15,18,14,112,88
220010,,6:4-6:7,1_Spring,male,some_college,black,midwest,0.7930949137746769,14,11,49,39,19,15,19,15,20,16,32,25,102,81
220011,1,7:6-7:11,2_Spring,male,some_college,black,midwest,0.7930949137746769,21,21,54,54,19,19,18,18,36,36,33,33,172,172
220015,,7:6-7:11,2_Spring,male,some_college,black,midwest,0.7930949137746769,19,15,74,59,29,23,19,15,38,30,31,25,216,171
222029,,8:0-9:3,2_Spring,female,BA_plus,white,south,1.143536647295701,20,23,86,98,31,35,29,33,38,43,34,39,224,256
223003,,8:0-9:3,2_Spring,male,HS_grad,hispanic,south,1.0099674294386634,22,22,79,80,24,24,21,21,38,38,34,34,224,226
225001,,5:0-5:7,K_Spring,male,BA_plus,hispanic,west,0.647322921674233,16,10,69,45,4,3,13,8,22,14,22,14,121,78
225002,,5:8-5:11,K_Spring,male,BA_plus,hispanic,west,0.647322921674233,23,15,72,47,6,4,18,12,25,16,25,16,116,75
225003,,5:8-5:11,K_Spring,male,BA_plus,hispanic,west,0.647322921674233,19,12,67,43,5,3,19,12,27,17,23,15,122,79
225004,,6:0-6:3,K_Spring,male,BA_plus,hispanic,west,0.647322921674233,20,13,67,43,9,6,17,11,23,15,24,16,107,69
225008,,7:0-7:5,1_Spring,male,no_HS,hispanic,west,1.3582191532624992,12,16,59,80,17,23,11,15,31,42,29,39,148,201
226001,,5:8-5:11,K_Spring,male,some_college,white,midwest,1.2105136657100941,1,1,47,57,5,6,15,18,18,22,21,25,108,131
226002,1,5:8-5:11,K_Spring,male,HS_grad,hispanic,midwest,0.8704443410292948,4,4,57,57,3,3,18,18,20,20,20,20,101,101
226003,,6:8-6:11,K_Spring,female,no_HS,hispanic,midwest,1.4135430795427946,19,27,52,74,6,8,14,20,17,24,23,33,101,143
226004,,5:8-5:11,K_Spring,male,HS_grad,black,midwest,0.8342957193742065,13,11,36,30,3,3,13,11,16,13,27,23,98,82
226005,,6:0-6:3,K_Spring,female,BA_plus,asian,midwest,0.457961119017377,20,9,43,20,27,12,19,9,17,8,23,11,97,44
226006,,5:8-5:11,K_Spring,female,BA_plus,hispanic,midwest,0.6736901286983921,23,15,54,36,16,11,17,11,19,13,30,20,106,71
226007,,6:0-6:3,K_Spring,female,BA_plus,asian,midwest,0.457961119017377,21,10,58,27,11,5,17,8,22,10,29,13,114,52
226008,1,7:6-7:11,1_Spring,male,HS_grad,black,midwest,0.8342957193742065,18,18,73,73,14,14,14,14,27,27,32,32,113,113
226010,,5:8-5:11,K_Spring,female,BA_plus,other,midwest,0.8099953180392707,18,15,51,41,17,14,16,13,24,19,32,26,118,96
226011,1,6:0-6:3,K_Spring,male,HS_grad,black,midwest,0.8342957193742065,11,11,61,61,15,15,8,8,12,12,11,11,100,100
226053,,5:0-5:7,K_Fall,male,BA_plus,white,midwest,1.0507849079731348,10,11,23,24,7,7,5,5,7,7,9,9,100,105
226054,1,5:0-5:7,K_Fall,female,BA_plus,white,midwest,0.9855614888010669,14,14,36,36,22,22,12,12,14,14,20,20,100,100
