ID,noweight,DOB,admin_date,gender,educ,ethnic,region,demo_wt,sege_pom,sege_pom_w,rlne_pom,rlne_pom_w,rhme_pom,rhme_pom_w,snwe_pom,snwe_pom_w,lswe_pom,lswe_pom_w,lske_pom,lske_pom_w
201001,,8/1/2013,3/7/2019,female,HS_grad,asian,south,0.6086462337215557,0.64,0,0.48333333333333334,0,0.5666666666666667,0,0.46875,0,0.42105263157894735,0,0.7878787878787878,0
201008,,11/22/2011,3/7/2019,male,HS_grad,asian,south,0.6489807853951944,0.32,0,0.8,1,0.8666666666666667,1,0.625,0,0.7894736842105263,1,0.8484848484848485,1
201010,,10/2/2010,5/21/2019,male,BA_plus,white,south,1.2173859174725512,0.84,1,0.49166666666666664,1,0.6666666666666666,1,0.875,1,0.9736842105263158,1,1,1
203001,,6/19/2012,6/22/2019,male,BA_plus,white,midwest,1.070597033468632,0.72,1,0.6166666666666667,1,0.7666666666666667,1,0.71875,1,0.8421052631578947,1,0.8484848484848485,1
203002,1,1/11/2012,5/20/2019,male,some_college,white,midwest,1.2385362594615668,0.56,0.56,0.725,0.725,0.4,0.4,0.5625,0.5625,0.8157894736842105,0.8157894736842105,0.6666666666666666,0.6666666666666666
203003,,5/14/2011,6/3/2019,female,BA_plus,white,midwest,1.0040587748023304,0.84,1,0.9083333333333333,1,0.9666666666666667,1,0.9375,1,1,1,1,1
203004,,5/4/2011,5/1/2019,female,BA_plus,hispanic,midwest,0.6755524402499087,0.96,1,0.65,0,0.9333333333333333,1,0.90625,1,0.9736842105263158,1,1,1
204001,,1/24/2011,5/11/2019,female,BA_plus,white,south,1.141724640128021,0.96,1,0.65,1,0.9666666666666667,1,0.84375,1,0.9736842105263158,1,1,1
204006,,4/11/2011,6/20/2019,female,BA_plus,white,south,1.141724640128021,0.64,1,0.85,1,0.8333333333333334,1,0.71875,1,0.9210526315789473,1,0.9696969696969697,1
205001,,10/20/2010,4/8/2019,female,BA_plus,asian,south,0.5090647595684119,0.72,0,0.55,0,0.8,0,0.65625,0,0.9473684210526315,0,0.9696969696969697,0
205004,,7/10/2013,4/18/2019,female,BA_plus,asian,south,0.5090647595684119,0.72,0,0.5416666666666666,0,0.6,0,0.59375,0,0.5526315789473685,0,0.7575757575757576,0
205008,1,2/18/2011,5/18/2019,male,BA_plus,white,south,1.2173859174725512,0.96,0.96,0.625,0.625,0.8,0.8,0.59375,0.59375,0.8421052631578947,0.8421052631578947,0.9090909090909091,0.9090909090909091
205009,,9/27/2011,5/19/2019,male,BA_plus,asian,south,0.5428001179957411,0.64,0,0.6583333333333333,0,0.6333333333333333,0,0.5,0,0.8947368421052632,0,0.9090909090909091,0
205013,,8/28/2012,5/24/2019,male,BA_plus,white,south,1.2173859174725512,0.52,1,0.5083333333333333,1,0.9333333333333333,1,0.46875,1,0.6052631578947368,1,0.7878787878787878,1
205014,1,8/7/2011,5/20/2019,male,HS_grad,black,south,0.9404385812384027,0.68,0.68,0.4083333333333333,0.4083333333333333,0.3333333333333333,0.3333333333333333,0.28125,0.28125,0.3684210526315789,0.3684210526315789,0.5757575757575758,0.5757575757575758
205028,1,8/28/2012,6/5/2019,male,BA_plus,hispanic,south,0.8190835515942422,0.64,0.64,0.4166666666666667,0.4166666666666667,0.9666666666666667,0.9666666666666667,0.71875,0.71875,0.9736842105263158,0.9736842105263158,1,1
205029,,8/29/2013,6/15/2019,female,BA_plus,white,south,1.141724640128021,0.72,1,0.75,1,0.6666666666666666,1,0.65625,1,0.9473684210526315,1,1,1
205036,,5/30/2012,7/9/2019,male,BA_plus,white,south,1.2173859174725512,0.68,1,0.4,0,0.6666666666666666,1,0.625,1,0.868421052631579,1,0.9090909090909091,1
206001,,1/24/2013,3/25/2019,female,BA_plus,asian,northeast,0.49808579435611616,0.8,0,0.525,0,0.8,0,0.5,0,0.47368421052631576,0,0.7575757575757576,0
206002,,8/28/2011,3/25/2019,female,BA_plus,asian,northeast,0.49808579435611616,0.92,0,0.85,0,0.9,0,0.625,0,0.9736842105263158,0,1,0
206005,,1/29/2012,6/17/2019,male,BA_plus,white,northeast,1.1911306377922186,0.8,1,0.7666666666666667,1,0.9,1,0.9375,1,0.9736842105263158,1,0.9696969696969697,1
206011,,6/21/2011,6/19/2019,female,BA_plus,white,northeast,1.1171011420948558,0.8,1,0.7333333333333333,1,1,1,0.875,1,0.9473684210526315,1,1,1
207001,,1/9/2013,5/23/2019,male,some_college,black,midwest,0.8002376571006601,0.4,0,0.3333333333333333,0,0.4,0,0.46875,0,0.4473684210526316,0,0.5454545454545454,0
207002,,8/12/2013,5/23/2019,female,HS_grad,white,midwest,1.2004692531390824,0.2,0,0.16666666666666666,0,0.3,0,0.40625,0,0.47368421052631576,1,0.5151515151515151,1
207004,1,7/29/2012,5/30/2019,male,HS_grad,hispanic,midwest,0.8612274666600797,0.2,0.2,0.18333333333333332,0.18333333333333332,0.6,0.6,0.53125,0.53125,0.5789473684210527,0.5789473684210527,0.3939393939393939,0.3939393939393939
207006,,2/17/2012,5/31/2019,male,HS_grad,black,midwest,0.8270432085526275,0.48,0,0.2833333333333333,0,0.8666666666666667,1,0.59375,0,0.6842105263157895,1,0.8181818181818182,1
207007,,9/26/2012,5/31/2019,male,HS_grad,black,midwest,0.8270432085526275,0.56,0,0.2833333333333333,0,0.8333333333333334,1,0.65625,1,0.631578947368421,1,0.7575757575757576,1
207008,1,12/24/2010,5/30/2019,male,no_HS,hispanic,midwest,1.4578480115144927,0.68,0.68,0.08333333333333333,0.08333333333333333,0.36666666666666664,0.36666666666666664,0.3125,0.3125,0.47368421052631576,0.47368421052631576,0.48484848484848486,0.48484848484848486
207022,,2/20/2013,7/12/2019,female,HS_grad,black,midwest,0.7756419686663273,0.48,0,0.2916666666666667,0,0.5666666666666667,0,0.59375,0,0.5789473684210527,0,0.7878787878787878,1
207023,,7/12/2014,8/14/2019,male,some_college,black,midwest,0.8002376571006601,0.2,0,0.375,0,0.5333333333333333,0,0.5625,0,0.5263157894736842,0,0.48484848484848486,0
207024,1,5/29/2014,8/13/2019,female,HS_grad,black,midwest,0.7756419686663273,0.24,0.24,0.4166666666666667,0.4166666666666667,0.4,0.4,0.53125,0.53125,0.5789473684210527,0.5789473684210527,0.5454545454545454,0.5454545454545454
207025,,4/15/2014,8/26/2019,male,some_college,black,midwest,0.8002376571006601,0.2,0,0.35833333333333334,0,0.4666666666666667,0,0.53125,0,0.6052631578947368,0,0.696969696969697,1
207026,,3/5/2013,8/26/2019,female,HS_grad,hispanic,midwest,0.8077016542808969,0.64,1,0.6833333333333333,1,0.8,1,0.625,1,0.9210526315789473,1,0.7272727272727273,1
207027,,4/26/2014,8/26/2019,female,some_college,black,midwest,0.7505023985877858,0.2,0,0.4166666666666667,0,0.43333333333333335,0,0.4375,0,0.47368421052631576,0,0.5151515151515151,0
207028,,1/18/2013,8/27/2019,male,some_college,black,midwest,0.8002376571006601,0.12,0,0.38333333333333336,0,0.36666666666666664,0,0.28125,0,0.39473684210526316,0,0.45454545454545453,0
207029,,7/5/2014,8/29/2019,female,HS_grad,black,midwest,0.7756419686663273,0.28,0,0.425,0,0.43333333333333335,0,0.59375,0,0.5263157894736842,0,0.6666666666666666,1
207030,,8/18/2014,8/28/2019,male,HS_grad,black,midwest,0.8270432085526275,0.2,0,0.175,0,0.03333333333333333,0,0.03125,0,0.34210526315789475,0,0.15151515151515152,0
207031,,5/6/2013,8/27/2019,male,some_college,black,midwest,0.8002376571006601,0.48,0,0.44166666666666665,0,0.7333333333333333,1,0.53125,0,0.8157894736842105,1,0.696969696969697,1
207032,,2/21/2013,8/26/2019,female,HS_grad,black,midwest,0.7756419686663273,0.52,0,0.48333333333333334,0,0.6,0,0.59375,0,0.868421052631579,1,0.696969696969697,1
208001,,7/3/2012,3/29/2019,male,HS_grad,black,south,0.9404385812384027,0.44,0,0.175,0,0.23333333333333334,0,0.5,0,0.4473684210526316,0,0.5454545454545454,1
208011,,6/1/2013,4/18/2019,male,HS_grad,black,south,0.9404385812384027,0.08,0,0.16666666666666666,0,0.2,0,0.34375,0,0.3157894736842105,0,0.5454545454545454,1
209019,1,10/15/2013,11/25/2019,female,BA_plus,white,west,0.9038716387578337,0.76,0.76,0.35,0.35,0.13333333333333333,0.13333333333333333,0.4375,0.4375,0.39473684210526316,0.39473684210526316,0.696969696969697,0.696969696969697
210001,,3/1/2012,5/30/2019,male,BA_plus,hispanic,south,0.8190835515942422,0.76,1,0.65,1,0.9666666666666667,1,0.90625,1,0.9736842105263158,1,1,1
210016,,9/5/2012,6/24/2019,male,BA_plus,hispanic,south,0.8190835515942422,0.8,1,0.725,1,0.6333333333333333,1,0.625,1,0.8157894736842105,1,0.9696969696969697,1
210018,,8/28/2012,6/26/2019,male,some_college,hispanic,south,0.947569110005152,0.88,1,0.75,1,0.7666666666666667,1,0.75,1,0.9736842105263158,1,1,1
210039,,7/18/2014,8/18/2019,male,HS_grad,hispanic,south,0.9793098214140168,0.04,0,0.4583333333333333,0,0.1,0,0.1875,0,0.3157894736842105,0,0.21212121212121213,0
210044,,12/3/2013,8/26/2019,female,some_college,hispanic,south,0.8886771118259256,0.6,1,0.5416666666666666,0,0.2,0,0.53125,0,0.4473684210526316,0,0.8484848484848485,1
211008,,10/16/2012,6/10/2019,male,BA_plus,white,midwest,1.070597033468632,0.24,0,0.48333333333333334,1,0.8666666666666667,1,0.59375,1,0.7631578947368421,1,0.9393939393939394,1
211043,,8/10/2013,7/22/2019,female,BA_plus,other,midwest,0.8263036333743511,0.48,0,0.44166666666666665,0,0.9333333333333333,1,0.34375,0,0.47368421052631576,0,0.6363636363636364,1
211056,,7/30/2012,7/30/2019,male,HS_grad,white,midwest,1.2800234940768558,0.6,1,0.4083333333333333,1,0.9666666666666667,1,0.59375,1,0.868421052631579,1,0.9090909090909091,1
211057,,1/24/2012,7/31/2019,male,some_college,white,midwest,1.2385362594615668,1,1,0.6083333333333333,1,0.8666666666666667,1,0.875,1,0.9736842105263158,1,0.9696969696969697,1
211072,,10/9/2012,8/3/2019,male,some_college,white,midwest,1.2385362594615668,0.6,1,0.2916666666666667,0,0.7,1,0.34375,0,0.2894736842105263,0,0.42424242424242425,1
211073,,10/21/2012,8/6/2019,male,BA_plus,hispanic,midwest,0.7203208184963408,0.96,1,0.48333333333333334,0,1,1,0.84375,1,0.8947368421052632,1,0.9696969696969697,1
212001,,3/9/2012,6/21/2019,female,HS_grad,black,midwest,0.7756419686663273,0.6,0,0.23333333333333334,0,0.4666666666666667,0,0.40625,0,0.5789473684210527,0,0.7272727272727273,1
213003,,4/15/2013,7/8/2019,female,BA_plus,other,west,0.7438532862348263,0.56,0,0.4583333333333333,0,0.23333333333333334,0,0.3125,0,0.39473684210526316,0,0.5757575757575758,0
