,Northeast,Midwest,South,West 
5 years,0.1598,0.2112,0.3854,0.2436
6 Years,0.1571,0.2124,0.3859,0.2446
7 Years,0.157,0.2119,0.3859,0.2452
8 Years,0.1583,0.2133,0.3848,0.2436
9 Years,0.1597,0.213,0.3844,0.2428
10 years,0.1614,0.2141,0.3824,0.2422
11 years,0.1612,0.2131,0.383,0.2427
12 years,0.1624,0.2156,0.3815,0.2406
13 years,0.1625,0.2142,0.3822,0.241
14 years,0.1646,0.2129,0.3851,0.2374
15 years,0.1657,0.2157,0.3822,0.2364
16 years,0.1676,0.2147,0.3786,0.2391
17 years,0.1698,0.213,0.3784,0.2388
18 years,0.1772,0.214,0.3777,0.2311
19 years,0.1805,0.215,0.3727,0.2317
20 years,0.1717,0.213,0.3772,0.2381
21 years,0.1722,0.2125,0.3767,0.2385
22 years,0.1737,0.21,0.3732,0.2431
23 years,0.1707,0.2104,0.3735,0.2454
24 years,0.1724,0.2143,0.3684,0.2448
25 - 40 years,0.1712,0.2019,0.377,0.2499
41-50 years,0.1798,0.2066,0.379,0.2346
51-60 years,0.1863,0.2191,0.3704,0.2242
61-70 years,0.1821,0.2164,0.3756,0.2258
71-80 years,0.182,0.2143,0.3851,0.2187
81-90 years,0.2064,0.2311,0.3486,0.2139
