agestrat,target_n
"""05""",10
"""06""",175
"""07""",175
"""08""",175
"""09""",175
"""10""",175
"""11""",150
"""12""",150
"""13""",150
"""14""",150
"""15""",150
"""16""",125
"""17""",125
"""18""",125
"""19""",125
"""20""",100
"""21""",100
"""22""",100
"""23""",75
"""24""",75
"""2540""",75
"""4150""",75
"""5160""",75
"""6170""",75
"""7180""",50
"""8190""",50
