raw,agestrat
0,7.4-7.7
0,7.8-7.11
0,8.0-8.5
0,8.6-8.11
0,9.0-9.5
0,9.6-9.11
0,10.0-10.5
0,10.6-10.11
0,11.0-11.5
0,11.6-11.11
0,12.0-12.5
0,12.6-12.11
0,13.0-13.11
0,14.0-14.11
1,7.4-7.7
1,7.8-7.11
1,8.0-8.5
1,8.6-8.11
1,9.0-9.5
1,9.6-9.11
1,10.0-10.5
1,10.6-10.11
1,11.0-11.5
1,11.6-11.11
1,12.0-12.5
1,12.6-12.11
1,13.0-13.11
1,14.0-14.11
2,7.8-7.11
2,8.0-8.5
2,8.6-8.11
2,9.0-9.5
2,9.6-9.11
2,10.0-10.5
2,10.6-10.11
2,11.0-11.5
2,11.6-11.11
2,12.0-12.5
2,12.6-12.11
2,13.0-13.11
2,14.0-14.11
3,7.8-7.11
3,8.0-8.5
3,8.6-8.11
3,9.0-9.5
3,9.6-9.11
3,10.0-10.5
3,10.6-10.11
3,11.0-11.5
3,11.6-11.11
3,12.0-12.5
3,12.6-12.11
3,13.0-13.11
3,14.0-14.11
4,7.8-7.11
4,8.0-8.5
4,8.6-8.11
4,9.0-9.5
4,9.6-9.11
4,10.0-10.5
4,10.6-10.11
4,11.0-11.5
4,11.6-11.11
4,12.0-12.5
4,12.6-12.11
4,13.0-13.11
4,14.0-14.11
5,7.8-7.11
5,8.0-8.5
5,8.6-8.11
5,9.0-9.5
5,9.6-9.11
5,10.0-10.5
5,10.6-10.11
5,11.0-11.5
5,11.6-11.11
5,12.0-12.5
5,12.6-12.11
5,13.0-13.11
5,14.0-14.11
6,7.8-7.11
6,8.0-8.5
6,8.6-8.11
6,9.0-9.5
6,9.6-9.11
6,10.0-10.5
6,10.6-10.11
6,11.0-11.5
6,11.6-11.11
6,12.0-12.5
6,12.6-12.11
6,13.0-13.11
6,14.0-14.11
7,7.8-7.11
7,8.0-8.5
7,8.6-8.11
7,9.0-9.5
7,9.6-9.11
7,10.0-10.5
7,10.6-10.11
7,11.0-11.5
7,11.6-11.11
7,12.0-12.5
7,12.6-12.11
7,13.0-13.11
7,14.0-14.11
8,7.8-7.11
8,8.0-8.5
8,8.6-8.11
8,9.0-9.5
8,9.6-9.11
8,10.0-10.5
8,10.6-10.11
8,11.0-11.5
8,11.6-11.11
8,12.0-12.5
8,12.6-12.11
8,13.0-13.11
8,14.0-14.11
9,7.8-7.11
9,8.0-8.5
9,8.6-8.11
9,9.0-9.5
9,9.6-9.11
9,10.0-10.5
9,10.6-10.11
9,11.0-11.5
9,11.6-11.11
