raw,agestrat
29,7.6-7.11
29,8.0-8.5
29,8.6-9.3
30,7.6-7.11
30,8.0-8.5
30,8.6-9.3
31,7.6-7.11
31,8.0-8.5
31,8.6-9.3
32,7.6-7.11
32,8.0-8.5
32,8.6-9.3
33,7.6-7.11
33,8.0-8.5
33,8.6-9.3
34,7.0-7.5
34,7.6-7.11
34,8.0-8.5
34,8.6-9.3
35,7.0-7.5
35,7.6-7.11
35,8.0-8.5
35,8.6-9.3
36,7.0-7.5
36,7.6-7.11
36,8.0-8.5
36,8.6-9.3
37,7.0-7.5
37,7.6-7.11
37,8.0-8.5
37,8.6-9.3
38,7.0-7.5
38,7.6-7.11
38,8.0-8.5
38,8.6-9.3
39,7.0-7.5
39,7.6-7.11
39,8.0-8.5
39,8.6-9.3
40,6.6-6.11
40,7.0-7.5
40,7.6-7.11
40,8.0-8.5
40,8.6-9.3
41,6.6-6.11
41,7.0-7.5
41,7.6-7.11
41,8.0-8.5
41,8.6-9.3
42,6.6-6.11
42,7.0-7.5
42,7.6-7.11
42,8.0-8.5
42,8.6-9.3
43,6.6-6.11
43,7.0-7.5
43,7.6-7.11
43,8.0-8.5
43,8.6-9.3
44,6.6-6.11
44,7.0-7.5
44,7.6-7.11
44,8.0-8.5
44,8.6-9.3
45,6.0-6.5
45,6.6-6.11
45,7.0-7.5
45,7.6-7.11
45,8.0-8.5
45,8.6-9.3
46,6.0-6.5
46,6.6-6.11
46,7.0-7.5
46,7.6-7.11
46,8.0-8.5
46,8.6-9.3
47,6.0-6.5
47,6.6-6.11
47,7.0-7.5
47,7.6-7.11
47,8.0-8.5
47,8.6-9.3
48,6.0-6.5
48,6.6-6.11
48,7.0-7.5
48,7.6-7.11
48,8.0-8.5
48,8.6-9.3
49,5.8-5.11
49,6.0-6.5
49,6.6-6.11
49,7.0-7.5
49,7.6-7.11
49,8.0-8.5
49,8.6-9.3
50,5.8-5.11
50,6.0-6.5
50,6.6-6.11
50,7.0-7.5
50,7.6-7.11
50,8.0-8.5
50,8.6-9.3
51,5.4-5.7
51,5.8-5.11
51,6.0-6.5
51,6.6-6.11
51,7.0-7.5
51,7.6-7.11
51,8.0-8.5
51,8.6-9.3
52,5.4-5.7
52,5.8-5.11
52,6.0-6.5
52,6.6-6.11
52,7.0-7.5
52,7.6-7.11
52,8.0-8.5
52,8.6-9.3
53,5.4-5.7
53,5.8-5.11
53,6.0-6.5
53,6.6-6.11
53,7.0-7.5
53,7.6-7.11
53,8.0-8.5
53,8.6-9.3
54,5.4-5.7
54,5.8-5.11
54,6.0-6.5
54,6.6-6.11
54,7.0-7.5
54,7.6-7.11
54,8.0-8.5
54,8.6-9.3
55,5.4-5.7
55,5.8-5.11
55,6.0-6.5
55,6.6-6.11
55,7.0-7.5
55,7.6-7.11
55,8.0-8.5
55,8.6-9.3
56,5.4-5.7
56,5.8-5.11
56,6.0-6.5
56,6.6-6.11
56,7.0-7.5
56,7.6-7.11
56,8.0-8.5
56,8.6-9.3
57,5.4-5.7
57,5.8-5.11
57,6.0-6.5
57,6.6-6.11
57,7.0-7.5
57,8.0-8.5
57,8.6-9.3
58,5.4-5.7
58,5.8-5.11
58,6.0-6.5
58,6.6-6.11
58,7.0-7.5
58,7.6-7.11
58,8.0-8.5
59,5.4-5.7
59,5.8-5.11
59,6.0-6.5
59,6.6-6.11
59,7.0-7.5
59,8.0-8.5
59,8.6-9.3
60,5.4-5.7
60,5.8-5.11
60,6.0-6.5
60,6.6-6.11
60,7.6-7.11
60,8.6-9.3
61,5.8-5.11
61,6.0-6.5
61,7.0-7.5
61,8.0-8.5
62,5.4-5.7
62,6.0-6.5
62,7.0-7.5
62,8.6-9.3
63,6.0-6.5
63,7.6-7.11
64,5.4-5.7
