raw,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,63,61,59,57,55,53,51,50,48,47,46,45,44,43,42,42,41
1,65,63,61,59,56,54,53,51,50,48,47,47,46,45,44,43,43
2,67,64,62,60,58,56,54,52,51,50,49,48,47,46,45,44,44
3,68,66,64,62,59,57,55,54,52,51,50,49,48,47,46,45,45
4,70,68,66,63,61,59,57,55,54,53,51,50,50,48,47,46,46
5,72,70,67,65,63,60,58,57,55,54,53,52,51,50,49,47,47
6,74,71,69,67,64,62,60,58,57,55,54,53,52,51,50,49,48
7,76,73,71,68,66,63,61,60,58,57,55,54,53,52,51,50,50
8,77,75,73,70,67,65,63,61,59,58,57,56,55,53,52,51,51
9,79,77,74,72,69,66,64,62,61,59,58,57,56,55,53,52,52
10,81,78,76,73,70,68,66,64,62,61,59,58,57,56,55,53,53
11,83,80,78,75,72,69,67,65,63,62,61,59,58,57,56,54,54
12,85,82,79,76,74,71,69,67,65,63,62,61,60,58,57,56,55
13,86,84,81,78,75,72,70,68,66,65,63,62,61,60,58,57,56
14,88,85,83,80,77,74,72,69,68,66,64,63,62,61,59,58,58
15,90,87,84,81,78,75,73,71,69,67,66,65,63,62,61,59,59
16,92,89,86,83,80,77,74,72,70,69,67,66,65,63,62,60,60
17,94,91,88,85,81,78,76,74,72,70,68,67,66,64,63,61,61
18,95,92,89,86,83,80,77,75,73,71,70,68,67,66,64,63,62
19,97,94,91,88,84,81,79,76,74,73,71,70,68,67,65,64,63
20,99,96,93,89,86,83,80,78,76,74,72,71,70,68,66,65,64
21,101,97,94,91,88,84,82,79,77,75,74,72,71,69,68,66,65
22,103,99,96,93,89,86,83,81,79,77,75,73,72,70,69,67,66
23,104,101,98,94,91,87,85,82,80,78,76,75,73,72,70,68,68
24,106,103,99,96,92,89,86,83,81,79,78,76,75,73,71,69,69
25,108,104,101,98,94,90,87,85,83,81,79,77,76,74,72,71,70
26,110,106,103,99,95,92,89,86,84,82,80,78,77,75,73,72,71
27,111,108,104,101,97,93,90,88,85,83,81,80,78,77,75,73,72
28,113,110,106,102,98,95,92,89,87,85,83,81,80,78,76,74,73
29,115,111,108,104,100,96,93,90,88,86,84,82,81,79,77,75,74
30,117,113,109,106,101,98,95,92,89,87,85,84,82,80,78,76,75
31,119,115,111,107,103,99,96,93,91,88,87,85,83,81,79,77,76
32,120,116,113,109,105,101,98,95,92,90,88,86,84,82,80,78,77
33,122,118,114,110,106,102,99,96,93,91,89,87,86,84,82,79,78
34,124,120,116,112,108,104,100,97,95,92,90,89,87,85,83,81,79
35,126,122,118,114,109,105,102,99,96,94,92,90,88,86,84,82,80
36,127,123,119,115,111,107,103,100,97,95,93,91,89,87,85,83,81
37,129,125,121,117,112,108,105,102,99,96,94,92,91,88,86,84,83
38,130,127,123,118,114,110,106,103,100,98,95,93,92,90,87,85,84
39,130,128,124,120,115,111,107,104,101,99,97,95,93,91,88,86,85
40,130,130,126,122,117,113,109,106,103,100,98,96,94,92,90,87,86
41,130,130,128,123,118,114,110,107,104,101,99,97,95,93,91,88,87
42,130,130,129,125,120,116,112,108,105,103,100,98,97,94,92,89,88
43,130,130,130,126,121,117,113,110,107,104,102,100,98,95,93,90,89
44,130,130,130,128,123,118,115,111,108,105,103,101,99,97,94,91,90
45,130,130,130,129,124,120,116,112,109,107,104,102,100,98,95,92,91
46,130,130,130,130,126,121,117,114,111,108,105,103,101,99,96,93,92
47,130,130,130,130,127,123,119,115,112,109,107,104,103,100,97,95,93
48,130,130,130,130,129,124,120,117,113,110,108,106,104,101,98,96,94
49,130,130,130,130,130,126,122,118,115,112,109,107,105,102,100,97,94
50,130,130,130,130,130,127,123,119,116,113,110,108,106,103,101,98,95
51,130,130,130,130,130,129,124,121,117,114,112,109,107,105,102,99,96
52,130,130,130,130,130,130,126,122,119,116,113,111,108,106,103,100,97
53,130,130,130,130,130,130,127,123,120,117,114,112,110,107,104,101,98
54,130,130,130,130,130,130,128,125,121,118,115,113,111,108,105,102,99
55,130,130,130,130,130,130,130,126,122,119,117,114,112,109,106,103,100
56,130,130,130,130,130,130,130,127,124,121,118,115,113,110,107,104,101
57,130,130,130,130,130,130,130,129,125,122,119,116,114,111,108,105,102
58,130,130,130,130,130,130,130,130,126,123,120,118,115,112,109,106,103
59,130,130,130,130,130,130,130,130,128,124,121,119,116,113,110,107,104
60,130,130,130,130,130,130,130,130,129,126,123,120,118,115,111,108,105
61,130,130,130,130,130,130,130,130,130,127,124,121,119,116,112,109,106
62,130,130,130,130,130,130,130,130,130,128,125,122,120,117,113,110,107
63,130,130,130,130,130,130,130,130,130,129,126,123,121,118,114,111,107
64,130,130,130,130,130,130,130,130,130,130,127,125,122,119,115,112,108
65,130,130,130,130,130,130,130,130,130,130,129,126,123,120,116,113,109
66,130,130,130,130,130,130,130,130,130,130,130,127,124,121,118,113,110
67,130,130,130,130,130,130,130,130,130,130,130,128,126,122,119,114,111
68,130,130,130,130,130,130,130,130,130,130,130,129,127,123,120,115,112
69,130,130,130,130,130,130,130,130,130,130,130,130,128,124,121,116,113
70,130,130,130,130,130,130,130,130,130,130,130,130,129,125,122,117,114
71,130,130,130,130,130,130,130,130,130,130,130,130,130,126,123,118,114
72,130,130,130,130,130,130,130,130,130,130,130,130,130,127,124,119,115
73,130,130,130,130,130,130,130,130,130,130,130,130,130,129,125,120,116
74,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126,121,117
75,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127,122,118
76,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,123,118
77,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,124,119
78,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,125,120
79,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125,121
80,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126,122
81,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127,122
82,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,123
83,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,124
84,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,125
85,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126
86,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126
87,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,127
88,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128
89,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
90,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
91,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
92,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
