agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,9,0,0.4886,6,0,0.1147,0,1,0.2607,3,0,0.3026,0,3,0.322,12,0,0.2548,4,0,0.0482,0,0,0.1352,1,0,0.4986,9,0,0.0632,1,0,0.1598,1,1,0.3854,4,0,0.2112,6,0,0.2436,4,0,6
06,250,0.5107,14,114,0.4893,15,107,0.1147,1,28,0.2607,4,61,0.3026,5,71,0.322,19,62,0.255,7,57,0.047,2,10,0.136,4,30,0.5,15,110,0.062,1,14,0.1571,1,38,0.3859,12,84,0.2124,12,41,0.2446,4,57,29
07,250,0.5106,4,124,0.4894,9,113,0.1147,0,29,0.2607,2,63,0.3026,1,75,0.322,10,70,0.255,0,64,0.048,1,11,0.135,1,33,0.501,9,116,0.061,2,13,0.157,1,38,0.3859,7,89,0.2119,4,49,0.2452,1,60,13
08,250,0.5077,10,117,0.4923,8,115,0.1147,0,29,0.2607,5,60,0.3026,0,76,0.322,13,68,0.251,5,58,0.047,0,12,0.134,0,34,0.51,13,114,0.058,0,14,0.1583,0,40,0.3848,8,88,0.2133,9,44,0.2436,1,60,18
09,250,0.5112,1,127,0.4888,1,121,0.1147,0,29,0.2607,0,65,0.3026,0,76,0.322,2,78,0.25,0,62,0.047,1,11,0.135,0,34,0.509,0,127,0.059,1,14,0.1597,0,40,0.3844,0,96,0.213,2,51,0.2428,0,61,2
10,250,0.5107,1,127,0.4893,1,121,0.1147,0,29,0.2607,0,65,0.3026,1,75,0.322,1,80,0.25,1,62,0.047,0,12,0.134,0,34,0.514,1,128,0.056,0,14,0.1614,0,40,0.3824,2,94,0.2141,0,54,0.2422,0,61,2
11,225,0.5079,4,110,0.4921,2,109,0.1147,0,26,0.2607,0,59,0.3026,2,66,0.322,4,68,0.245,0,55,0.047,0,11,0.135,0,30,0.518,6,111,0.055,0,12,0.1612,0,36,0.383,2,84,0.2131,4,44,0.2427,0,55,6
12,225,0.5093,0,115,0.4907,1,109,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,1,71,0.243,1,54,0.047,0,11,0.134,0,30,0.522,0,117,0.054,0,12,0.1624,0,37,0.3815,1,85,0.21560000000000001,0,49,0.2406,0,54,1
13,225,0.5128,3,112,0.4872,0,110,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,3,69,0.237,0,53,0.047,0,11,0.135,0,30,0.527,3,116,0.053,0,12,0.1625,0,37,0.3822,1,85,0.2142,2,46,0.241,0,54,3
14,225,0.5143,0,116,0.4857,1,108,0.1147,0,26,0.2607,1,58,0.3026,0,68,0.322,0,72,0.235,1,52,0.046,0,10,0.138,0,31,0.528,0,119,0.053,0,12,0.1646,0,37,0.3851,1,86,0.2129,0,48,0.2374,0,53,1
15,225,0.5117,3,112,0.4883,1,109,0.1147,0,26,0.2607,2,57,0.3026,0,68,0.322,2,70,0.23,1,51,0.045,0,10,0.137,0,31,0.538,3,118,0.05,0,11,0.1657,0,37,0.3822,2,84,0.2157,2,47,0.2364,0,53,4
16,175,0.5115,0,90,0.4885,0,85,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,1,55,0.226,0,40,0.046,0,8,0.14,0,25,0.538,1,93,0.05,0,9,0.1676,0,29,0.3786,0,66,0.2147,1,37,0.2391,0,42,0
17,175,0.512,0,90,0.488,0,85,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,0,56,0.224,0,39,0.046,0,8,0.14,0,25,0.541,0,95,0.048,0,8,0.1698,0,30,0.3784,0,66,0.213,0,37,0.2388,0,42,0
18,175,0.5091,0,89,0.4909,0,86,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,0,56,0.219,0,38,0.05,0,9,0.143,0,25,0.539,0,94,0.048,0,8,0.1772,0,31,0.3777,0,66,0.214,0,37,0.2311,0,40,0
19,175,0.515,1,89,0.485,3,82,0.1147,1,19,0.2607,1,45,0.3026,1,52,0.322,1,55,0.219,1,37,0.052,0,9,0.143,1,24,0.54,2,92,0.046,0,8,0.1805,0,32,0.3727,4,61,0.215,0,38,0.2317,0,41,4
20,100,0.5157,3,49,0.4843,2,46,0.1147,0,11,0.2607,3,23,0.3026,1,29,0.322,2,30,0.219,3,19,0.051,0,5,0.147,3,12,0.54,0,54,0.043,0,4,0.1717,0,17,0.3772,5,33,0.213,1,20,0.2381,0,24,5
21,100,0.5148,5,46,0.4852,7,42,0.1147,1,10,0.2607,7,19,0.3026,0,30,0.322,4,28,0.215,2,20,0.052,0,5,0.148,1,14,0.546,8,47,0.041,0,4,0.1722,0,17,0.3767,12,26,0.2125,0,21,0.2385,0,24,11
22,100,0.5159,0,52,0.4841,0,48,0.1147,0,11,0.2607,0,26,0.3026,0,30,0.322,0,32,0.213,0,21,0.054,0,5,0.147,0,15,0.546,0,55,0.04,0,4,0.1737,0,17,0.3732,0,37,0.21,0,21,0.2431,0,24,0
23,75,0.5106,0,38,0.4894,0,37,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,0,24,0.209,0,16,0.056,0,4,0.148,0,11,0.548,0,41,0.039,0,3,0.1707,0,13,0.3735,0,28,0.2104,0,16,0.2454,0,18,0
24,75,0.5095,0,38,0.4905,1,36,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,1,23,0.205,0,15,0.057,0,4,0.144,0,11,0.554,1,41,0.039,0,3,0.1724,0,13,0.3684,1,27,0.2143,0,16,0.2448,0,18,1
2540,75,0.503,1,37,0.497,3,34,0.109,0,8,0.238,2,16,0.309,0,23,0.344,2,24,0.206,2,13,0.067,0,5,0.13,0,10,0.565,2,40,0.032,0,2,0.1712,0,13,0.377,4,24,0.2019,0,15,0.2499,0,19,4
4150,75,0.495,0,37,0.505,3,35,0.1203,0,9,0.2575,1,18,0.2943,0,22,0.3279,2,23,0.174,1,12,0.062,0,5,0.124,1,8,0.615,1,45,0.025,0,2,0.1798,0,13,0.379,2,26,0.2066,1,14,0.2346,0,18,3
5160,75,0.487,1,36,0.513,2,36,0.1183,0,9,0.2937,2,20,0.3009,0,23,0.287,1,21,0.119,2,7,0.048,0,4,0.117,1,8,0.695,0,52,0.022,0,2,0.1863,0,14,0.3704,2,26,0.2191,1,15,0.2242,0,17,3
6170,75,0.4741,2,34,0.5259,4,35,0.1197,1,8,0.2819,0,21,0.2931,1,21,0.3053,4,19,0.089,1,6,0.045,0,3,0.101,1,7,0.747,4,52,0.018,0,1,0.1821,0,14,0.3756,3,25,0.2164,1,15,0.2258,2,15,6
7180,50,0.4503,1,22,0.5497,5,22,0.1779,0,9,0.3311,1,16,0.243,2,10,0.248,4,8,0.079,0,4,0.042,0,2,0.088,0,4,0.777,7,32,0.014,0,1,0.182,0,9,0.3851,0,19,0.2143,2,9,0.2187,5,6,6
8190,50,0.3908,0,20,0.6092,0,30,0.236,0,12,0.3643,0,18,0.1952,0,10,0.2044,0,10,0.07,0,4,0.037,0,2,0.074,0,4,0.807,0,40,0.011,0,1,0.2064,0,10,0.3486,0,17,0.2311,0,12,0.2139,0,11,0
