agestrat,target_n,Male_census_pct,Male_actual,Male_needed,Female_census_pct,Female_actual,Female_needed,Less_than_HS_census_pct,Less_than_HS_actual,Less_than_HS_needed,HS_degree_census_pct,HS_degree_actual,HS_degree_needed,Some_college_census_pct,Some_college_actual,Some_college_needed,BA_plus_census_pct,BA_plus_actual,BA_plus_needed,Hispanic_census_pct,Hispanic_actual,Hispanic_needed,Asian_census_pct,Asian_actual,Asian_needed,Black_census_pct,Black_actual,Black_needed,White_census_pct,White_actual,White_needed,Other_census_pct,Other_actual,Other_needed,Northeast_census_pct,Northeast_actual,Northeast_needed,South_census_pct,South_actual,South_needed,Midwest_census_pct,Midwest_actual,Midwest_needed,West_census_pct,West_actual,West_needed,total_usable_cases
05,10,0.5114,4,1,0.4886,5,0,0.1147,0,1,0.2607,1,2,0.3026,0,3,0.322,8,0,0.2548,4,0,0.0482,0,0,0.1352,0,1,0.4986,5,0,0.0632,0,1,0.1598,1,1,0.3854,2,2,0.2112,2,0,0.2436,4,0,4
06,250,0.5107,6,122,0.4893,6,116,0.1147,0,29,0.2607,2,63,0.3026,2,74,0.322,8,72,0.255,4,60,0.047,1,11,0.136,0,34,0.5,6,119,0.062,1,14,0.1571,0,39,0.3859,9,87,0.2124,0,53,0.2446,3,58,12
07,250,0.5106,2,126,0.4894,4,118,0.1147,0,29,0.2607,1,64,0.3026,0,76,0.322,5,76,0.255,0,64,0.048,1,11,0.135,0,34,0.501,3,122,0.061,2,13,0.157,1,38,0.3859,3,93,0.2119,1,52,0.2452,1,60,6
08,250,0.5077,2,125,0.4923,6,117,0.1147,0,29,0.2607,3,62,0.3026,0,76,0.322,5,76,0.251,2,61,0.047,0,12,0.134,0,34,0.51,6,122,0.058,0,14,0.1583,0,40,0.3848,5,91,0.2133,3,50,0.2436,0,61,8
09,250,0.5112,1,127,0.4888,0,122,0.1147,0,29,0.2607,0,65,0.3026,0,76,0.322,1,80,0.25,0,62,0.047,0,12,0.135,0,34,0.509,1,126,0.059,0,15,0.1597,0,40,0.3844,0,96,0.213,0,53,0.2428,1,60,1
10,250,0.5107,0,128,0.4893,0,122,0.1147,0,29,0.2607,0,65,0.3026,0,76,0.322,0,80,0.25,0,62,0.047,0,12,0.134,0,34,0.514,0,128,0.056,0,14,0.1614,0,40,0.3824,0,96,0.2141,0,54,0.2422,0,61,-0
11,225,0.5079,0,114,0.4921,0,111,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,0,72,0.245,0,55,0.047,0,11,0.135,0,30,0.518,0,117,0.055,0,12,0.1612,0,36,0.383,0,86,0.2131,0,48,0.2427,0,55,0
12,225,0.5093,0,115,0.4907,0,110,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,0,72,0.243,0,55,0.047,0,11,0.134,0,30,0.522,0,117,0.054,0,12,0.1624,0,37,0.3815,0,86,0.21560000000000001,0,49,0.2406,0,54,-0
13,225,0.5128,1,114,0.4872,1,109,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,2,70,0.237,0,53,0.047,0,11,0.135,0,30,0.527,2,117,0.053,0,12,0.1625,0,37,0.3822,1,85,0.2142,1,47,0.241,0,54,2
14,225,0.5143,0,116,0.4857,0,109,0.1147,0,26,0.2607,0,59,0.3026,0,68,0.322,0,72,0.235,0,53,0.046,0,10,0.138,0,31,0.528,0,119,0.053,0,12,0.1646,0,37,0.3851,0,87,0.2129,0,48,0.2374,0,53,-0
15,225,0.5117,0,115,0.4883,1,109,0.1147,0,26,0.2607,1,58,0.3026,0,68,0.322,0,72,0.23,0,52,0.045,0,10,0.137,0,31,0.538,1,120,0.05,0,11,0.1657,0,37,0.3822,1,85,0.2157,0,49,0.2364,0,53,1
16,175,0.5115,0,90,0.4885,0,85,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,0,56,0.226,0,40,0.046,0,8,0.14,0,25,0.538,0,94,0.05,0,9,0.1676,0,29,0.3786,0,66,0.2147,0,38,0.2391,0,42,0
17,175,0.512,0,90,0.488,0,85,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,0,56,0.224,0,39,0.046,0,8,0.14,0,25,0.541,0,95,0.048,0,8,0.1698,0,30,0.3784,0,66,0.213,0,37,0.2388,0,42,0
18,175,0.5091,0,89,0.4909,0,86,0.1147,0,20,0.2607,0,46,0.3026,0,53,0.322,0,56,0.219,0,38,0.05,0,9,0.143,0,25,0.539,0,94,0.048,0,8,0.1772,0,31,0.3777,0,66,0.214,0,37,0.2311,0,40,0
19,175,0.515,0,90,0.485,2,83,0.1147,1,19,0.2607,0,46,0.3026,0,53,0.322,1,55,0.219,0,38,0.052,0,9,0.143,0,25,0.54,2,92,0.046,0,8,0.1805,0,32,0.3727,2,63,0.215,0,38,0.2317,0,41,2
20,100,0.5157,0,52,0.4843,0,48,0.1147,0,11,0.2607,0,26,0.3026,0,30,0.322,0,32,0.219,0,22,0.051,0,5,0.147,0,15,0.54,0,54,0.043,0,4,0.1717,0,17,0.3772,0,38,0.213,0,21,0.2381,0,24,0
21,100,0.5148,3,48,0.4852,2,47,0.1147,0,11,0.2607,2,24,0.3026,0,30,0.322,3,29,0.215,1,20,0.052,0,5,0.148,0,15,0.546,4,51,0.041,0,4,0.1722,0,17,0.3767,5,33,0.2125,0,21,0.2385,0,24,5
22,100,0.5159,0,52,0.4841,0,48,0.1147,0,11,0.2607,0,26,0.3026,0,30,0.322,0,32,0.213,0,21,0.054,0,5,0.147,0,15,0.546,0,55,0.04,0,4,0.1737,0,17,0.3732,0,37,0.21,0,21,0.2431,0,24,0
23,75,0.5106,0,38,0.4894,0,37,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,0,24,0.209,0,16,0.056,0,4,0.148,0,11,0.548,0,41,0.039,0,3,0.1707,0,13,0.3735,0,28,0.2104,0,16,0.2454,0,18,0
24,75,0.5095,0,38,0.4905,0,37,0.1147,0,9,0.2607,0,20,0.3026,0,23,0.322,0,24,0.205,0,15,0.057,0,4,0.144,0,11,0.554,0,42,0.039,0,3,0.1724,0,13,0.3684,0,28,0.2143,0,16,0.2448,0,18,0
2540,75,0.503,1,37,0.497,0,37,0.109,0,8,0.238,1,17,0.309,0,23,0.344,0,26,0.206,0,15,0.067,0,5,0.13,0,10,0.565,1,41,0.032,0,2,0.1712,0,13,0.377,1,27,0.2019,0,15,0.2499,0,19,1
4150,75,0.495,0,37,0.505,0,38,0.1203,0,9,0.2575,0,19,0.2943,0,22,0.3279,0,25,0.174,0,13,0.062,0,5,0.124,0,9,0.615,0,46,0.025,0,2,0.1798,0,13,0.379,0,28,0.2066,0,15,0.2346,0,18,0
5160,75,0.487,1,36,0.513,0,38,0.1183,0,9,0.2937,1,21,0.3009,0,23,0.287,0,22,0.119,0,9,0.048,0,4,0.117,1,8,0.695,0,52,0.022,0,2,0.1863,0,14,0.3704,0,28,0.2191,1,15,0.2242,0,17,1
6170,75,0.4741,1,35,0.5259,0,39,0.1197,1,8,0.2819,0,21,0.2931,0,22,0.3053,0,23,0.089,0,7,0.045,0,3,0.101,1,7,0.747,0,56,0.018,0,1,0.1821,0,14,0.3756,0,28,0.2164,1,15,0.2258,0,17,1
7180,50,0.4503,1,22,0.5497,0,27,0.1779,0,9,0.3311,0,17,0.243,0,12,0.248,1,11,0.079,0,4,0.042,0,2,0.088,0,4,0.777,1,38,0.014,0,1,0.182,0,9,0.3851,0,19,0.2143,0,11,0.2187,1,10,1
8190,50,0.3908,0,20,0.6092,0,30,0.236,0,12,0.3643,0,18,0.1952,0,10,0.2044,0,10,0.07,0,4,0.037,0,2,0.074,0,4,0.807,0,40,0.011,0,1,0.2064,0,10,0.3486,0,17,0.2311,0,12,0.2139,0,11,0
