gender,educ,ethnic,region,demo_wt,n_input,n_census
male,no_HS,hispanic,northeast,1.4478544362980434,4,0.81
male,no_HS,hispanic,midwest,1.3882336202950007,1,1.09
male,no_HS,hispanic,west,1.287218903857975,2,1.25
male,no_HS,other,south,1.9307772677099297,1,0.48
male,HS_grad,hispanic,northeast,0.93233594784279,2,1.84
male,HS_grad,hispanic,south,1.0388599659415687,2,4.49
male,HS_grad,hispanic,midwest,0.8939435317229179,2,2.47
male,HS_grad,hispanic,west,0.828895796927016,5,2.84
male,HS_grad,asian,northeast,0.6230649261907223,2,0.35
male,HS_grad,asian,south,0.6942531922098782,1,0.85
male,HS_grad,asian,west,0.5539375583737713,1,0.54
male,HS_grad,black,northeast,0.8907759707132195,7,0.98
male,HS_grad,black,south,0.9925515547671899,5,2.39
male,HS_grad,black,midwest,0.8540949419313374,8,1.31
male,HS_grad,white,northeast,1.3268102634506693,1,3.63
male,HS_grad,white,south,1.4784049336384766,5,8.88
male,HS_grad,white,midwest,1.2721738935194475,1,4.87
male,HS_grad,white,west,1.179604254494896,4,5.61
male,HS_grad,other,northeast,1.1158225255778174,2,0.44
male,HS_grad,other,south,1.243310797573223,2,1.08
male,some_college,hispanic,northeast,0.8693252895883623,1,2.13
male,some_college,hispanic,south,0.9686500266599091,2,5.21
male,some_college,hispanic,midwest,0.8335275727475308,4,2.86
male,some_college,hispanic,west,0.7728760007263586,6,3.3
male,some_college,asian,south,0.647333033507858,1,0.99
male,some_college,asian,midwest,0.557032898702993,1,0.54
male,some_college,asian,west,0.5165004411353536,1,0.62
male,some_college,black,northeast,0.8305740870448542,2,1.13
male,some_college,black,south,0.925471306534734,1,2.77
male,some_college,black,midwest,0.7963720957540652,9,1.52
male,some_college,white,south,1.3784889449321591,13,10.3
male,some_college,white,midwest,1.1861957494499935,7,5.66
male,some_college,white,west,1.0998823037029912,4,6.51
male,some_college,other,south,1.1592833266265206,2,1.25
male,some_college,other,west,0.9249803711680811,1,0.79
male,BA_plus,hispanic,northeast,0.7688091159792204,1,2.27
male,BA_plus,hispanic,south,0.8566493803973911,5,5.54
male,BA_plus,hispanic,midwest,0.737150528143238,1,3.04
male,BA_plus,hispanic,west,0.683511824625908,5,3.5
male,BA_plus,asian,south,0.5724848261011477,3,1.05
male,BA_plus,asian,midwest,0.49262568977600346,1,0.58
male,BA_plus,asian,west,0.45677981798985356,2,0.66
male,BA_plus,black,south,0.8184632214921685,1,2.94
male,BA_plus,white,northeast,1.0940947070375846,1,4.48
male,BA_plus,white,south,1.2191004677227895,21,10.95
male,BA_plus,white,midwest,1.049041269631973,12,6.01
male,BA_plus,white,west,0.9727078594383105,7,6.92
female,no_HS,hispanic,northeast,1.3572688342430745,5,0.79
female,no_HS,hispanic,midwest,1.3013782188577496,1,1.07
female,no_HS,hispanic,west,1.206683529265588,11,1.23
female,no_HS,black,northeast,1.2967669713251675,1,0.42
female,no_HS,white,northeast,1.9315336104996916,2,1.57
female,no_HS,other,west,1.4441625535448297,1,0.29
female,HS_grad,hispanic,northeast,0.8740039698238034,5,1.8
female,HS_grad,hispanic,south,0.9738632693770732,1,4.4
female,HS_grad,hispanic,midwest,0.8380135908434216,1,2.42
female,HS_grad,hispanic,west,0.7770355940481605,4,2.78
female,HS_grad,asian,northeast,0.5840826155085569,1,0.34
female,HS_grad,asian,south,0.650816958692015,2,0.83
female,HS_grad,asian,west,0.5192802295925387,1,0.53
female,HS_grad,black,northeast,0.8350442095774292,3,0.96
female,HS_grad,black,south,0.9304521627944229,4,2.34
female,HS_grad,black,midwest,0.8006581442897353,7,1.28
female,HS_grad,white,northeast,1.243797839332469,2,3.56
female,HS_grad,white,south,1.3859079272839576,4,8.7
female,HS_grad,white,midwest,1.1925798161219108,2,4.78
female,HS_grad,white,west,1.1058018342369336,4,5.5
female,HS_grad,other,south,1.1655225515202685,2,1.06
female,HS_grad,other,west,0.9299585852297062,1,0.67
female,some_college,hispanic,northeast,0.8149355990471494,1,2.09
female,some_college,hispanic,south,0.9080460435206213,4,5.11
female,some_college,hispanic,midwest,0.781377580929424,1,2.81
female,some_college,hispanic,west,0.7245206991957412,10,3.23
female,some_college,asian,south,0.6068323788147587,2,0.97
female,some_college,asian,midwest,0.5221819086943206,2,0.53
female,some_college,asian,west,0.48418538083030527,1,0.61
female,some_college,black,northeast,0.7786088812617454,2,1.11
female,some_college,black,south,0.8675688175929586,1,2.72
female,some_college,black,midwest,0.7465467514755953,1,1.49
female,some_college,black,west,0.6922243324642586,1,1.72
female,some_college,white,south,1.2922432230748726,10,10.1
female,some_college,white,midwest,1.1119809296275578,3,5.55
female,some_college,white,west,1.031067719741574,11,6.38
female,some_college,other,south,1.0867522934908571,2,1.23
female,some_college,other,west,0.8671085977973213,1,0.78
female,BA_plus,hispanic,northeast,0.7207082607479491,1,2.22
female,BA_plus,hispanic,south,0.803052763273555,4,5.43
female,BA_plus,hispanic,midwest,0.6910304053443409,3,2.98
female,BA_plus,asian,northeast,0.4816375903202682,3,0.42
female,BA_plus,asian,south,0.5366670799661823,4,1.03
female,BA_plus,asian,midwest,0.46180436300630207,2,0.56
female,BA_plus,black,northeast,0.6885818379675331,2,1.18
female,BA_plus,white,northeast,1.0256422264169756,4,4.39
female,BA_plus,white,south,1.1428269508100501,16,10.73
female,BA_plus,white,midwest,0.9834075756585001,9,5.89
female,BA_plus,white,west,0.9118499963397846,8,6.78
female,BA_plus,other,south,0.9610960132572699,1,1.3
female,BA_plus,other,midwest,0.827027311267421,2,0.72
female,BA_plus,other,west,0.7668487302908259,1,0.82
